Movie_name,Top_genres,Release_Date,tconst,capped_profit,Successful,role_1,role_2,role_3,role_4,role_1_birth_year,role_2_birth_year,role_3_birth_year,role_4_birth_year,role_1_roles_count,role_2_roles_count,role_3_roles_count,role_4_roles_count,role_1_sex,role_2_sex,role_3_sex,role_4_sex
Holy Weapon,Other,1993,tt0108601,0.0,4.4,nm0000706,nm0155546,nm0001041,nm0510950,1962,1957,1964,1965,46.0,69.0,69.0,54.0,F,F,F,F
Tirangaa,Other,1992,tt0105599,0.0,4.6,nm0474855,nm0007113,nm1025262,nm0474616,1926,1951,1957,1972,41.0,62.0,7.0,20.0,M,M,M,F
Woman Sesame Oil Maker,Drama,1993,tt0108608,0.0,4.7,nm0802700,nm0943207,nm0499980,nm0155158,1949,1965,1936,\N,26.0,92.0,8.0,31.0,F,F,M,M
The Mackintosh Man,Drama,1973,tt0070351,0.0,4.5,nm0000056,nm0761212,nm0000051,nm0028674,1925,1951,1909,1911,68.0,44.0,139.0,63.0,M,F,M,M
Dawn of the Dead,Horror,1978,tt0077402,11609286.614221303,5.0,nm0256361,nm0286010,nm0718203,nm0743417,1946,1948,1948,1950,2.0,83.0,2.0,2.0,M,M,M,F
Soch Lo,Other,2010,tt1630613,0.0,4.6,nm1085995,nm3874864,nm3875071,nm3867923,\N,\N,\N,\N,109.0,3.0,4.0,1.0,F,F,M,M
Looking for Eric,Other,2009,tt1242545,11609286.614221303,4.9,nm0263740,nm0134642,nm2288625,nm1542551,1960,1966,1964,1984,54.0,36.0,2.0,37.0,M,M,F,M
Zarkorr! The Invader,Other,1996,tt0118214,0.0,3.9,nm0885080,nm0945882,nm0519725,nm0570409,\N,1951,1937,\N,1.0,8.0,6.0,1.0,M,M,M,M
Early to Bed,Other,1928,tt0018860,0.0,4.5,nm0001316,nm0491048,,,1892,1890,,,253.0,127.0,,,M,M,,
A Gruesome Twosome,Other,1945,tt0037753,0.0,4.6,nm0000305,nm0076700,,,1908,1912,,,1938.0,131.0,,,M,F,,
D,Drama,2005,tt0454435,0.0,4.6,nm0393535,nm0659233,nm1360697,nm0465929,1976,1962,1975,1976,54.0,38.0,20.0,30.0,M,M,F,F
Ali,Drama,2001,tt0248667,-25785401.764848452,4.1,nm0000226,nm0004937,nm0000685,nm0005522,1968,1967,1938,1957,192.0,182.0,74.0,69.0,M,M,M,M
In Darkness,Drama,2011,tt1417075,1078014.4491029056,4.7,nm0927240,nm0299811,nm1377449,nm0775056,1967,1972,1979,1965,78.0,107.0,71.0,57.0,M,M,F,F
Operation: Rabbit,Other,1952,tt0045000,0.0,4.9,nm0000305,,,,1908,,,,1938.0,,,,M,,,
Duel in the Jungle,Other,1954,tt0046942,0.0,4.4,nm0000763,nm0002022,nm0268119,nm0056556,1909,1925,1908,1908,402.0,44.0,35.0,35.0,M,F,M,M
Playoff,Drama,2011,tt1632722,0.0,4.3,nm0396812,nm0142972,nm2409219,nm0726262,1962,1971,1972,1984,37.0,62.0,53.0,68.0,M,F,M,M
Frankenstein's Bloody Terror,Horror,1968,tt0063275,0.0,4.4,nm0596701,nm0958743,nm0544403,nm0946184,1934,1947,\N,1938,61.0,20.0,8.0,20.0,M,F,M,F
Love in Space,Other,2011,tt1856038,0.0,4.4,nm0477209,nm0150873,nm0515002,nm1251565,1965,1974,1969,1983,46.0,30.0,23.0,21.0,M,M,F,F
Young Mr. Lincoln,Drama,1939,tt0032155,0.0,4.8,nm0000020,nm0103567,nm0915913,nm0924011,1905,1892,1913,1914,203.0,32.0,20.0,20.0,M,F,F,F
Rio,Other,2011,tt1436562,11609286.614221303,4.8,nm0251986,nm0004266,nm0520064,nm0228327,1983,1982,1961,\N,49.0,69.0,216.0,2.0,M,F,M,F
New Delhi,Other,1956,tt0049549,0.0,4.8,nm0474822,nm0904537,nm0416114,nm1415357,1929,1933,1936,\N,43.0,42.0,8.0,2.0,M,F,F,M
The Counterfeiters,Drama,2007,tt0813547,0.0,5.2,nm0548686,nm0225944,nm0834479,nm0104180,1963,1976,1973,1967,80.0,69.0,91.0,144.0,M,M,M,M
Transporter 2,Drama,2005,tt0388482,11609286.614221303,4.7,nm0005458,nm0005520,nm1690331,nm0309348,1967,1974,1982,1965,53.0,11.0,7.0,99.0,M,F,F,M
Umrao Jaan,Drama,2006,tt0485522,1610862.4434632715,4.3,nm0706787,nm0000818,nm0792911,nm0045393,1973,1950,1961,1976,41.0,137.0,109.0,75.0,F,F,M,M
Crime School,Other,1938,tt0030026,0.0,4.6,nm0000007,nm1513848,nm0656175,nm0356890,1899,\N,1913,1920,66.0,4.0,8.0,20.0,M,M,F,M
Carnival,Other,1946,tt0038398,0.0,4.4,nm0336931,nm0928697,nm0391361,nm0587061,1915,1912,1890,1907,19.0,30.0,54.0,26.0,F,M,M,M
WarGames,Drama,1983,tt0086567,11609286.614221303,4.9,nm0000111,nm0000639,nm0939795,nm0001056,1962,1962,1930,1932,64.0,49.0,27.0,111.0,M,F,M,M
5ive Girls,Drama,2006,tt0494199,-3523005.2498863214,4.0,nm0000579,nm1772184,nm0535046,nm0468659,1950,\N,1978,\N,216.0,21.0,4.0,7.0,M,F,F,F
I'll Be Home for Christmas,Other,1998,tt0155753,-25830025.725733858,3.9,nm0001795,nm0004754,nm0492220,nm0170550,1981,1982,1981,1956,100.0,63.0,12.0,243.0,M,F,M,M
Ride Lonesome,Action/Adventure,1959,tt0053220,0.0,4.7,nm0000068,nm0824606,nm0731490,nm0078940,1898,1931,1928,1926,81.0,36.0,389.0,103.0,M,F,M,M
Ayan,Other,2009,tt1355546,-3565259.6689327867,4.7,nm1421814,nm1961459,nm0694893,nm3388887,1975,1989,1956,\N,44.0,71.0,81.0,20.0,M,F,M,M
Hellbreeder,Drama,2004,tt0359398,0.0,3.6,nm1347679,nm0684500,nm0206372,nm1273947,\N,1955,1968,\N,1.0,132.0,8.0,21.0,F,M,M,F
Alien from L.A.,Other,1988,tt0092532,0.0,3.8,nm0001387,nm0608632,nm0354283,nm0666806,1963,1959,\N,\N,10.0,82.0,3.0,25.0,F,M,M,M
Lone Hero,Action/Adventure,2002,tt0282695,0.0,4.3,nm0001617,nm0001218,nm0001233,nm0021091,1962,1965,1941,1975,181.0,141.0,87.0,78.0,M,M,M,F
Little Fish,Drama,2005,tt0382810,0.0,4.5,nm0000949,nm0000554,nm0915989,nm0376540,1969,1947,1960,1974,104.0,175.0,95.0,140.0,F,M,M,M
Hennessy,Drama,1975,tt0073103,0.0,4.5,nm0001768,nm0001665,nm0426062,nm0002145,1925,1935,1927,1913,102.0,85.0,67.0,89.0,M,F,M,M
The Rookie,Other,1959,tt0053224,0.0,4.1,nm0634749,nm0551102,nm0628325,nm0504469,1921,1926,1933,1910,8.0,7.0,28.0,4.0,M,M,F,M
Skyscraper Caper,Other,1968,tt0063614,0.0,4.4,nm0000305,,,,1908,,,,1938.0,,,,M,,,
Lock Up,Drama,1989,tt0097770,-3628676.557947029,4.5,nm0000230,nm0000661,nm0025309,nm0484739,1946,1935,1939,1941,85.0,214.0,109.0,6.0,M,M,M,M
Down to You,Drama,2000,tt0186975,11609286.614221303,4.4,nm0005327,nm0005466,nm0004757,nm0004999,1976,1981,1972,1975,116.0,112.0,134.0,149.0,M,F,F,M
Good Morning,Drama,1959,tt0053134,0.0,4.8,nm0755401,nm0473984,nm0753479,nm0594381,1926,1931,1904,1916,47.0,42.0,63.0,38.0,M,F,M,F
Badri,Other,2000,tt0247945,0.0,4.7,nm0436302,nm0665349,nm0220838,nm0695177,1971,1975,1981,1965,30.0,31.0,3.0,212.0,M,F,F,M
FernGully: The Last Rainforest,Drama,1992,tt0104254,11609286.614221303,4.8,nm0000526,nm0000225,nm0000245,nm0000347,1970,1969,1951,1946,49.0,164.0,204.0,363.0,F,M,M,M
Tarzan's Magic Fountain,Other,1949,tt0041947,0.0,4.4,nm0000851,nm0431502,nm0215260,nm0030166,1919,1917,1905,1918,60.0,21.0,57.0,32.0,M,F,M,F
Tarzan and the Lost City,Action/Adventure,1998,tt0120856,3155751.072436992,4.1,nm0000680,nm0001506,nm0905357,nm0637681,1968,1973,1967,1941,187.0,12.0,30.0,7.0,M,F,M,M
Sherlock Holmes: A Game of Shadows,Drama,2011,tt1515091,11609286.614221303,5.0,nm0000375,nm0000179,nm0364813,nm1046097,1965,1972,\N,1978,86.0,102.0,78.0,48.0,M,M,M,F
Bottle Shock,Drama,2008,tt0914797,-408425.0712362064,4.6,nm1517976,nm0000614,nm0000597,nm1708092,1980,1946,1953,\N,49.0,35.0,90.0,2.0,M,M,M,M
Dangerous Ishq,Drama,2012,tt1971365,0.0,4.0,nm0006433,nm3152983,nm0244890,nm0792116,1974,1979,1971,1970,63.0,76.0,271.0,100.0,F,M,F,M
Hell's Island,Drama,1955,tt0048160,8841686.896981014,4.6,nm0668361,nm0614500,nm0838066,nm0635329,1912,1931,1903,1916,137.0,31.0,41.0,28.0,M,F,M,M
Princess Caraboo,Drama,1994,tt0110892,4891291.027165907,4.5,nm0000121,nm0000980,nm0400998,nm0000177,1963,1949,1952,1947,16.0,183.0,52.0,53.0,F,M,F,M
Steelyard Blues,Drama,1973,tt0070731,0.0,4.3,nm0003857,nm0000661,nm0381606,nm0881518,1929,1935,1940,1930,114.0,214.0,135.0,2.0,M,M,M,M
Electra Glide in Blue,Action/Adventure,1973,tt0070022,0.0,4.7,nm0086706,nm0124100,nm0752751,nm0727065,1933,1935,1934,1940,143.0,20.0,162.0,99.0,M,M,M,F
Anandhapurathu Veedu,Other,2010,tt4317600,0.0,4.6,nm7021589,nm3814240,nm1468843,nm7021590,\N,\N,\N,\N,1.0,3.0,8.0,198.0,M,M,F,M
Assault! Jack the Ripper,Horror,1976,tt0237045,0.0,4.5,nm0997194,nm0945599,nm0993396,nm0044481,\N,1953,1955,1955,12.0,28.0,10.0,25.0,F,F,F,F
Whisper of the Heart,Drama,1995,tt0113824,0.0,4.8,nm0393365,nm1534063,nm0846181,nm0614026,1979,1980,\N,1960,60.0,80.0,1.0,41.0,F,M,M,F
When the Trees Were Tall,Drama,1962,tt0055051,0.0,4.8,nm0347667,nm0631994,nm0475610,nm0563430,1940,1921,1936,1900,5.0,15.0,77.0,3.0,F,M,M,F
Whiteout,Drama,2009,tt0365929,-24452044.183878925,3.9,nm0000295,nm0532683,nm0000643,nm1551922,1973,1972,1933,1982,66.0,174.0,178.0,69.0,F,M,M,M
Chuck & Buck,Drama,2000,tt0200530,1625072.8040118078,4.6,nm0925234,nm0919363,nm0648913,nm0003991,1970,1969,1942,\N,6.0,1.0,20.0,1.0,M,M,F,F
Rhythm on the River,Other,1940,tt0032986,0.0,4.6,nm0001078,nm0552756,nm0001651,nm0505157,1903,1913,1892,1906,80.0,11.0,87.0,7.0,M,F,M,M
Ration Bored,Other,1943,tt0152145,0.0,4.5,,nm3023064,,,,1917,,,,39.0,,,,M,,
"Jenny, Juno",Other,2005,tt0453115,0.0,4.5,nm1512987,nm0497252,nm1136670,nm1870163,1976,1966,\N,1988,4.0,5.0,6.0,2.0,F,F,M,M
The Pope of Greenwich Village,Drama,1984,tt0087932,11609286.614221303,4.8,nm0000616,nm0000620,nm0000435,nm0656183,1956,1952,1960,1924,482.0,68.0,79.0,44.0,M,M,F,F
Léon: The Professional,Drama,1994,tt0110413,11609286.614221303,5.2,nm0000606,nm0000198,nm0000204,nm0000732,1948,1958,1981,1933,95.0,97.0,52.0,101.0,M,M,F,M
Still Walking,Other,2008,tt1087578,0.0,4.9,nm0008346,nm0622407,nm1645591,nm0847146,1964,1968,1964,1969,105.0,53.0,28.0,12.0,M,F,F,M
Saturday the 14th,Horror,1981,tt0083033,10414568.78379617,4.3,nm0000907,nm0696038,nm0001787,nm0201089,1938,1938,1944,1929,63.0,48.0,232.0,23.0,M,F,M,M
Look for a Star,Drama,2009,tt1312156,0.0,4.4,nm0490489,nm0795517,nm1833620,nm1481335,1961,1976,1964,1977,108.0,62.0,21.0,5.0,M,F,M,F
The Flying Scissors,Other,2009,tt0829427,0.0,4.9,nm0678730,nm0035079,nm0711864,nm1692978,\N,1960,1977,\N,78.0,10.0,12.0,8.0,M,M,M,M
Toplo,Other,1978,tt0189154,0.0,5.0,nm0794887,nm0467797,nm0961776,nm0155856,1931,1926,1926,1930,28.0,16.0,1.0,24.0,M,M,M,M
Mädchen in Uniform,Drama,1958,tt0051964,0.0,4.7,nm0658339,nm0002769,nm0317340,nm0248203,1914,1938,1898,1899,77.0,56.0,27.0,20.0,F,F,F,F
My Name is Julia Ross,Drama,1945,tt0037932,0.0,4.7,nm0001225,nm0926599,nm0534317,nm0890131,1924,1865,1899,1908,87.0,10.0,69.0,6.0,F,F,M,M
Varsity Blues,Drama,1999,tt0139699,11609286.614221303,4.8,nm0004735,nm0000685,nm0908094,nm0504516,1977,1938,1973,1970,212.0,74.0,27.0,6.0,M,M,M,M
BASEketball,Other,1998,tt0131857,10205697.234221157,4.7,nm0005295,nm0001778,nm0045379,nm0000109,1969,1971,1970,1968,339.0,328.0,33.0,104.0,M,M,M,F
Crisis,Drama,1950,tt0042352,0.0,4.6,nm0000026,nm0001207,nm0666358,nm0368516,1904,1912,1924,1915,67.0,75.0,35.0,49.0,M,M,F,F
Sonny Boy,Drama,2011,tt1138481,0.0,4.6,nm0465546,nm3316142,nm4713991,nm4714012,1972,\N,\N,\N,57.0,18.0,1.0,35.0,F,M,M,M
Freddy Got Fingered,Drama,2001,tt0240515,445554.2225941264,4.1,nm0338381,nm0001800,nm0004846,nm0858776,1971,1931,1974,1980,25.0,94.0,32.0,188.0,M,M,F,M
I Could Read the Sky,Other,1999,tt0215865,0.0,4.5,nm0372316,nm0001653,nm0185354,nm0448204,1947,1946,1963,1964,1.0,122.0,70.0,35.0,M,M,M,F
Tower of London,Drama,1962,tt0056606,0.0,4.5,nm0001637,nm0665327,nm0293444,nm0114543,1911,1920,1942,1926,172.0,170.0,27.0,71.0,M,M,F,M
True Believer,Drama,1989,tt0098524,11609286.614221303,4.8,nm0000249,nm0000375,nm0171513,nm0645785,1947,1965,1958,1959,115.0,86.0,42.0,20.0,M,M,F,M
The House in Nightmare Park,Other,1973,tt0070195,0.0,4.4,nm0398110,nm0001537,nm0120926,nm0341558,1917,1907,1913,1921,43.0,204.0,46.0,43.0,M,M,M,M
Revoir Julie,Drama,1998,tt0180095,0.0,4.5,nm0496663,nm0605174,nm0754889,nm0244789,\N,1965,1935,1944,4.0,68.0,42.0,11.0,F,F,M,F
The Raven,Horror,1935,tt0026912,0.0,4.6,nm0000472,nm0000509,nm0560091,nm0912115,1887,1882,1900,1910,133.0,58.0,24.0,11.0,M,M,M,F
Siruthai,Drama,2011,tt1821607,0.0,4.5,nm1912683,nm1961459,nm1962272,nm0043199,1977,1989,1980,\N,26.0,71.0,63.0,228.0,M,F,M,M
Zero Patience,Other,1993,tt0108649,0.0,4.5,nm0732758,nm0269302,nm0372748,nm0444784,\N,\N,\N,1953,24.0,1.0,1.0,1.0,M,M,F,M
The Inspector General,Other,1949,tt0041509,11609286.614221303,4.8,nm0001414,nm0805790,nm0060845,nm0006471,1911,1902,1925,1902,23.0,57.0,14.0,64.0,M,M,F,F
The Hagstone Demon,Other,2011,tt1339098,0.0,4.0,nm0096013,nm0343462,nm1185441,nm1682551,1966,\N,\N,1981,28.0,4.0,3.0,34.0,M,F,F,M
Smart Alecks,Drama,1942,tt0035345,0.0,4.4,nm0329832,nm0429853,nm0355653,nm0217316,1917,1923,1920,1919,66.0,30.0,76.0,44.0,M,M,M,M
The Ninth Gate,Drama,1999,tt0142688,11609286.614221303,4.8,nm0000136,nm0001449,nm0000565,nm0782561,1963,1938,1955,1966,247.0,90.0,96.0,46.0,M,M,F,F
The Work and The Glory,Drama,2004,tt0410454,-5204334.943263919,4.5,nm0377462,nm0425053,nm1289674,nm0834947,\N,1979,\N,1960,41.0,79.0,11.0,25.0,M,M,M,F
Metamorphosis: The Alien Factor,Drama,1990,tt0107561,0.0,4.2,nm0474583,nm2565808,nm0500300,nm0280874,\N,\N,\N,\N,1.0,1.0,8.0,1.0,M,M,F,F
Late Marriage,Drama,2001,tt0287471,0.0,4.7,nm0038988,nm0253813,nm0608701,nm1001218,\N,1964,1951,\N,150.0,45.0,141.0,1.0,M,F,M,F
Pokiri,Drama,2006,tt0816258,0.0,4.9,nm1121870,nm2299825,nm0695177,nm0621937,1975,1987,1965,1958,757.0,33.0,212.0,160.0,M,F,M,M
The Times of Harvey Milk,Other,1984,tt0088275,67914.7560308038,5.3,nm0001213,,,,1954,,,,12.0,,,,M,,,
Juliet of the Spirits,Drama,1965,tt0059229,0.0,4.8,nm0556399,nm0590452,nm0685609,nm0181305,1921,1933,1910,1923,33.0,41.0,12.0,66.0,F,F,M,F
Get Carter,Drama,2000,tt0208988,-87435657.37514517,2.7,nm0000230,nm0000337,nm0001669,nm0593961,1946,1979,1958,1976,85.0,116.0,107.0,99.0,M,F,F,F
Waterloo Bridge,Drama,1940,tt0033238,11609286.614221303,5.0,nm0000046,nm0001791,nm0914778,nm0276065,1913,1911,1879,1917,16.0,159.0,19.0,42.0,F,M,F,F
Elves,Other,1989,tt0099496,0.0,4.0,nm0353624,nm0042435,nm0526154,nm0798657,1942,\N,1937,1927,58.0,3.0,5.0,1.0,M,F,F,M
Nine Men,Other,1943,tt0036204,0.0,4.5,nm0483174,nm0840095,nm0413561,nm0684891,1899,\N,1923,1902,9.0,1.0,115.0,12.0,M,M,M,M
Women of the Prehistoric Planet,Other,1966,tt0061203,0.0,3.7,nm0179819,nm0488814,nm0000730,nm0318198,1914,1924,1921,1918,93.0,55.0,44.0,4.0,M,M,M,M
Nuan,Drama,2003,tt0390311,0.0,4.7,nm1714990,nm1507882,nm0434596,nm0991441,1997,1974,1965,1977,85.0,19.0,82.0,4.0,F,M,M,F
Super Star,Other,2002,tt14715754,0.0,4.9,nm1095768,nm5564682,nm10594905,nm5574529,\N,\N,\N,\N,5.0,3.0,1.0,3.0,M,M,M,M
Pom Pom,Action/Adventure,1984,tt0088105,0.0,4.5,nm0628827,nm0762632,nm0409677,nm0151068,1939,1952,1947,1945,39.0,14.0,23.0,16.0,M,M,F,M
A Prize of Arms,Drama,1962,tt0056377,0.0,4.6,nm0048939,nm0772692,nm0068552,nm0680515,1928,1925,1933,1914,47.0,42.0,78.0,27.0,M,M,M,M
First Love,Drama,1977,tt0076033,0.0,4.4,nm0001411,nm0001138,nm0001334,nm0000350,1951,1952,1946,1951,102.0,257.0,115.0,73.0,M,F,M,F
Casino,Drama,1995,tt0112641,11609286.614221303,5.1,nm0000134,nm0000232,nm0000582,nm0000249,1943,1958,1943,1947,116.0,117.0,40.0,115.0,M,F,M,M
Hera Pheri,Action/Adventure,1976,tt0073104,0.0,4.6,nm0000821,nm0451396,nm0052570,nm0659264,1942,1946,1944,1954,197.0,89.0,425.0,10.0,M,M,F,F
Island of Terror,Other,1966,tt0060548,0.0,4.5,nm0001088,nm0431837,nm0336500,nm0125952,1913,1932,1938,1911,91.0,33.0,5.0,34.0,M,M,F,M
2010: The Year We Make Contact,Drama,1984,tt0086837,11609286.614221303,4.8,nm0001702,nm0001475,nm0000545,nm0000837,1932,1945,1945,1945,106.0,236.0,121.0,60.0,M,M,F,M
American Cuisine,Other,1998,tt0129854,0.0,4.5,nm0005134,nm0593306,nm0001393,nm0677621,1970,1942,1966,\N,161.0,29.0,48.0,8.0,M,M,F,F
Common Law Cabin,Drama,1967,tt0061504,0.0,4.2,nm0602803,nm0054330,nm0717870,nm0092941,1923,1940,\N,\N,15.0,1.0,4.0,2.0,M,F,F,M
Music in the Air,Other,1934,tt0025536,0.0,4.4,nm0841797,nm0092900,nm0599766,nm0485806,1899,1895,1907,1917,33.0,48.0,23.0,21.0,F,M,M,F
A Woman's Vengeance,Drama,1948,tt0040002,0.0,4.6,nm0000964,nm0001955,nm0001788,nm0362567,1899,1928,1909,1893,122.0,41.0,37.0,86.0,M,F,F,M
The Lawless Nineties,Action/Adventure,1936,tt0027876,0.0,4.4,nm0000078,nm0751946,nm0940617,nm0371025,1907,1917,1889,1885,133.0,41.0,29.0,70.0,M,F,M,M
The Way Ahead,Drama,1944,tt0037449,0.0,4.6,nm0000057,nm0391361,nm0232019,nm0491406,1910,1890,1917,1897,133.0,54.0,27.0,131.0,M,M,M,M
The Snows of Kilimanjaro,Other,2011,tt1852006,0.0,4.7,nm0038449,nm0201669,nm0583681,nm1228072,1954,1953,1952,1987,57.0,112.0,20.0,30.0,F,M,M,M
Tora-san's Song of Love,Other,1983,tt0086063,0.0,4.6,nm0040910,nm0047962,nm0793726,nm0592654,1928,1941,1915,1921,53.0,90.0,23.0,7.0,M,F,M,F
One of Our Spies Is Missing,Other,1966,tt0060784,0.0,4.4,,,nm0001991,nm0263052,,,1886,1901,,,228.0,40.0,,,M,M
Hawayein,Drama,2003,tt0378025,0.0,4.7,nm1436449,nm1386102,nm1434281,nm0222143,\N,1976,\N,1970,2.0,14.0,8.0,429.0,M,M,F,M
Dil,Other,2003,tt0367657,0.0,4.7,nm1094012,nm2639935,nm1298052,nm0149867,1983,\N,1964,1944,33.0,901.0,55.0,33.0,M,F,M,M
Love's Labour's Lost,Other,2000,tt0182295,-17459921.938381724,4.1,nm0005273,nm0000224,nm0001523,nm0000110,1972,1976,1969,1960,43.0,124.0,159.0,148.0,M,F,F,M
The Beyond,Horror,1981,tt0082307,0.0,4.6,nm0531529,nm0911285,nm0598443,nm0231452,1954,1941,1957,1940,21.0,21.0,20.0,4.0,F,M,F,M
Mr. Robinson Crusoe,Other,1932,tt0023243,0.0,4.4,nm0001196,nm0267912,nm0114991,nm0016183,1883,1876,1872,1910,29.0,30.0,1.0,15.0,M,M,M,F
Eliminators,Other,1986,tt0091003,0.0,4.2,nm0697785,nm0000344,nm0126267,nm0497056,1936,\N,1948,1959,96.0,69.0,2.0,10.0,M,F,M,M
License to Drive,Other,1988,tt0095519,11609286.614221303,4.7,nm0000433,nm0000397,nm0001406,nm0557956,1971,\N,1952,1948,42.0,83.0,127.0,72.0,M,M,F,M
The Shriek,Other,1933,tt0142845,0.0,4.7,nm0000813,nm0360684,,,1908,1897,,,101.0,82.0,,,M,F,,
"Vincent, François, Paul and the Others",Other,1974,tt0072368,0.0,4.7,nm0598971,nm0681566,nm0716577,nm0000367,1921,1925,1922,1948,50.0,162.0,69.0,211.0,M,M,M,M
Chadi Jawani Budhe Nu,Other,1976,tt3290368,0.0,4.1,nm1766848,nm0707398,nm1632752,nm5315591,\N,1931,1950,\N,2.0,34.0,2.0,2.0,M,M,F,M
Kaleidoscope,Other,1966,tt0060581,0.0,4.4,nm0000886,nm0948772,nm0720890,nm0692110,1937,1939,1930,1928,30.0,84.0,56.0,56.0,M,F,M,M
The Two-Headed Spy,Drama,1958,tt0052327,0.0,4.6,nm0370144,nm0768748,nm0776711,nm0461594,1910,1934,1925,1907,65.0,24.0,123.0,39.0,M,F,M,M
Kundun,Drama,1997,tt0119485,-32911333.260291766,4.1,nm0862292,nm0856522,nm0855212,nm0656676,\N,\N,\N,\N,1.0,1.0,2.0,1.0,M,M,M,M
Gunless,Action/Adventure,2010,tt1376195,-10856693.211896358,4.3,nm0343472,nm0347149,nm1682420,nm3569542,1959,1975,\N,\N,139.0,55.0,138.0,4.0,M,F,M,F
Scotched in Scotland,Other,1954,tt0047460,0.0,4.7,nm0002935,nm0004310,nm0397602,nm0888349,1897,1902,1895,1904,264.0,259.0,63.0,16.0,M,M,M,M
Daybreak,Other,1948,tt0039304,0.0,4.6,nm0692439,nm0002897,nm0715582,nm0726585,1901,1907,1919,1879,32.0,41.0,35.0,16.0,M,F,M,M
A Ham in a Role,Other,1949,tt0041443,0.0,4.6,nm0000305,nm0292677,nm0057969,,1908,1926,1918,,1938.0,160.0,36.0,,M,M,M,
The Time Machine,Other,1960,tt0054387,11609286.614221303,5.4,nm0001792,nm0949241,nm0590796,nm0001982,1930,1919,1942,1918,132.0,179.0,37.0,255.0,M,M,F,M
Inner Sanctum,Drama,1948,tt0040472,0.0,4.4,nm0751062,nm0400794,nm0396633,nm0067692,1918,1919,1889,1934,7.0,51.0,12.0,2.0,M,F,M,M
A League of Their Own,Drama,1992,tt0104694,11609286.614221303,4.9,nm0000158,nm0000133,nm0001614,nm0000187,1956,1956,1963,1958,113.0,74.0,42.0,21.0,M,F,F,F
The Herdsman,Drama,1982,tt0084363,0.0,4.7,nm0955821,nm0159079,nm0514995,nm0069994,1954,1962,1913,1935,4.0,6.0,9.0,21.0,M,F,M,M
The Gay Falcon,Other,1941,tt0033650,0.0,4.6,nm0001695,nm0057412,nm0420765,nm0883904,1906,1912,1900,\N,106.0,36.0,89.0,2.0,M,F,M,F
Ponga Pandit,Other,1975,tt0318584,0.0,4.6,nm0196380,nm0576567,nm0219939,nm0621254,1947,\N,1948,1955,20.0,8.0,53.0,15.0,M,F,M,F
Birth of the Beatles,Drama,1979,tt0078865,0.0,4.5,nm0533249,nm0191358,nm0022904,nm0038785,1944,1950,1952,1952,6.0,4.0,73.0,23.0,M,M,M,M
Fly Away Home,Drama,1996,tt0116329,11609286.614221303,4.8,nm0001099,nm0001593,nm0001127,nm0455767,1955,1982,\N,1954,111.0,131.0,243.0,73.0,M,F,F,M
Shadow Dancing,Drama,1988,tt0096080,0.0,4.4,nm0886456,nm0001626,nm0444339,nm0651657,1962,1929,\N,1954,3.0,217.0,61.0,1.0,F,M,M,M
Whale Rider,Drama,2002,tt0298228,11609286.614221303,5.0,nm1095720,nm0660984,nm0369357,nm0193295,1990,\N,\N,1968,103.0,13.0,10.0,69.0,F,M,F,M
Chocolat,Drama,1988,tt0094868,0.0,4.7,nm0207218,nm0097817,nm0167388,nm0011803,1957,1962,1955,1958,40.0,12.0,76.0,43.0,M,F,M,M
Malicious,Other,1973,tt0070358,0.0,4.5,nm0000773,nm0275009,nm0597381,nm0042106,1941,1921,1956,1946,32.0,26.0,3.0,28.0,F,M,M,F
The Stratton Story,Drama,1949,tt0041928,0.0,5.1,nm0000071,nm0000742,nm0604656,nm0001547,1908,1917,1890,1900,117.0,43.0,66.0,300.0,M,F,M,F
The Haunting in Connecticut,Drama,2009,tt0492044,11609286.614221303,4.6,nm0000515,nm0233027,nm0000480,nm0973177,1961,\N,1961,\N,106.0,69.0,53.0,60.0,F,M,M,M
The Case Of The Stuttering Pig,Other,1937,tt0028696,0.0,4.7,nm0000305,nm0076700,nm0088285,nm6445983,1908,1912,1894,\N,1938.0,131.0,213.0,29.0,M,F,M,F
Tortoise Beats Hare,Other,1941,tt0034305,0.0,4.8,nm0000305,,,,1908,,,,1938.0,,,,M,,,
Deuces Wild,Drama,2002,tt0231448,8268420.755137364,4.5,nm0001151,nm0000605,nm0000103,nm0005342,1973,1982,1974,1969,120.0,17.0,27.0,210.0,M,M,F,M
Reykjavik Whale Watching Massacre,Horror,2009,tt1075749,-4413899.078791381,4.1,nm2273799,nm0951182,nm1546182,nm3110756,1982,1970,\N,\N,74.0,6.0,14.0,16.0,F,F,M,F
Herb,Other,2007,tt0969274,9023543.564117167,4.7,nm1367246,nm0046276,nm1973031,nm1322499,1982,1964,1983,\N,14.0,80.0,28.0,3.0,F,F,M,M
Frozen,Other,2004,tt1458450,0.0,4.7,nm3407754,nm3406054,nm3407362,nm0399327,\N,\N,\N,\N,4.0,7.0,2.0,1.0,M,M,M,M
Cleopatra,Drama,1934,tt0024991,0.0,5.5,nm0001055,nm0929925,nm0928295,nm0771584,1903,1894,1905,1896,62.0,50.0,28.0,51.0,F,M,M,M
The Lazarus Project,Drama,2008,tt0464041,-10720626.211957594,4.3,nm0908094,nm0005305,nm1628077,nm0348409,1973,1976,1999,1945,27.0,118.0,3.0,45.0,M,F,F,M
