Movie_name,Plot_summary,Top_genres,averageRating,neg,neu,pos,compound
Vicky Donor,"The story is about Dr. Baldev Chaddha , a fertility expert, who runs a fertility clinic and a sperm bank in Daryaganj, Delhi, that guarantees high quality and specialized sperm for the couples without issue. Unfortunately, he has more failed cases to his credit than successes. A healthy and high-performing donor is therefore need of the hour. While searching for his 'Indian Alexander', Chaddha bumps into Vicky Arora . Vicky is an only son of his widowed mother Dolly, who runs a small parlor from their home in Lajpat Nagar. He provides no financial support to her. As luck would have it, a small brawl in the colony brings Chaddha and Vicky face to face, where Chaddha concludes that Vicky could be the donor he has been looking for. From here on, Chaddha's days and nights are spent in convincing Vicky to become a donor until he finally gives in. Vicky falls in love with Ashima Roy , a Bengali who works in a bank. Despite initial rivalry between Vicky and Ashima's families due to conflicting cultures, they eventually convince their families and get happily married. It is discovered in the progress that Ashima is infertile and Vicky, with a heavy heart, takes better care of her. Soon their world comes crashing down because of Vicky's past as a sperm donor, which Ashima can not digest. She moves back to her father's house at Kolkata. For the 25th anniversary of Chaddha's clinic, Vicky convinces Ashima to attend. On the day, all the children who were born out of Vicky's sperm are present , and Ashima realises that Vicky was responsible for the happiness brought to the parents of these children. In the end, they adopt a child who was sired by Vicky but whose foster parents have since died in an accident. Vicky and Ashima reunite and live happily. Also, Dr. Chaddha convinces Vicky to donate his sperm for one last time.
",Other,7.8,0.052,0.835,0.113,0.9245
Viswanathan Ramamoorthy,"Ramamoorthy ([[Vivek , with dreams of being a movie director, moves to the city with his wife Shenbagam , banking on his rich friend Viswanathan  to help him. Turns out, Viswanathan is a hen-pecked husband and his wife Meena , an aspiring actress. With the intent on laying their hands on 30 lakhs, Shenbagam begins to act as Viswanathan's wife and Meena, in financial trouble of her own, agrees to be part of the drama. But Andal , who sees Ramamoorthy as the man of her dreams, tries to woo him.
",Other,,0.018,0.813,0.169,0.9239
The Final Cut,"A maniac bomber is ruthlessly targeting Seattle, claiming civilians and bomb disposal teams alike as apartment blocks and and office complexes collapse under the impact of his ingenious, complex devices. Calling in ex-Bomb Squad man John Pierce  to help them, and using computer assisted disposal techniques and virtual reality simulations, the Squad come to a horrifying realization - the bombs are constructed with tricks and traps intended to kill the disposal teams...and he only person who would know such schemes would be a fellow Bomb Squad officer. With the Police marking Pierce as their number one suspect and the bomber on the brink of one final, cataclysmic attack, Pierce must move quickly to unmask the trigger-man behind the carnage or face taking the rap himself. {{Empty section}}
",Drama,,0.211,0.762,0.027,-0.979
The Barefoot Contessa,"Down on his luck, veteran movie director and writer Harry Dawes  is reduced to working for abusive, emotionally stunted business tycoon Kirk Edwards , who has decided he wants to produce a film to stroke his monumental ego. Looking for a fresh leading lady, they discover, in a Madrid night club, stunning dancer Maria Vargas , a blithe but proud spirit who likes to go barefoot and has a troubled home life. Maria takes an instant dislike to Kirk but trusts Harry, whose work she knows. Thanks to his expertise and the help of sweaty, insincere publicist Oscar Muldoon , her film debut is a sensation. Kirk tries to control Maria's life by publicly ordering her to stay away from wealthy Latin American playboy Alberto Bravano , but Maria rebels. She is a great star, but Maria is not satisfied. She envies the happiness her friend Harry has found with his wife Jerry  and wants a prince charming of her own. Alberto is too frivolous and shallow for her. When he berates her in public for supposedly ruining his luck at a gambling table, he receives a slap in the face from a stranger. This turns out to be Count Vincenzo Torlato-Favrini , who offers Maria his arm. They walk out. Maria has found the great love of her life. They wed in a lavish ceremony, but there is a problem. The count and his spinster sister  are the last of the Torlato-Favrinis; without offspring, the noble line will die out. Unfortunately, he is incapable of fathering a child because a war injury has left him impotent. He tells Maria about this on their wedding night. Sometime later, Harry is in Italy and an unhappy Maria tells him about her husband and confesses that she is pregnant. She believes her husband will want this child and plans to tell him about it that night. However, her husband had suspected she was unfaithful and shoots her before she could tell him about the child. Harry arrives just as the shots are fired and does not tell the count about the pregnancy. The story ends  with flashbacks at her funeral.
",Drama,6.9,0.14,0.702,0.158,0.843
Wendy and Lucy,"Wendy Carroll ([[Michelle Williams  is a young woman who sets her sights on Alaska in hopes of starting a new life with her dog Lucy, travelling in her car with limited supplies and a straining budget of a little over $500 left for the trip. Stranded in Oregon when her car breaks down and lacking the funds to repair it, Wendy faces yet another challenge when she is apprehended for shoplifting and Lucy disappears while she is in police custody.
",Drama,7.1,0.077,0.875,0.048,-0.3612
The Velvet Touch,"Broadway leading lady Valerie Stanton , accidentally kills her producer and former lover, Gordon Dunning , during an argument about the direction her career should take. He expects her to sign for his next production, a typical frothy comedy for which he is known, while she wants to star in a revival of Hedda Gabler in order to prove her versatility as an actress. Other characters involved in the plot are Valerie's new beau Michael Morrell , supporting actress Marian Webster , who is accused of committing Valerie's crime, and police Capt. Danbury , who may know more than he's willing to disclose.
",Drama,6.8,0.119,0.793,0.089,-0.5574
Ladies in Lavender,"Set in picturesque coastal Cornwall, in a tight-knit fishing village in 1936, Ladies in Lavender stars Judi Dench and Maggie Smith playing the leading roles of sisters Ursula  and Janet Widdington . Andrea is played by Daniel Brühl. A gifted young Polish violinist from Krakow, Andrea is bound for America when he is swept overboard by a storm. When the Widdington sisters discover the handsome stranger on the beach below their house, they nurse him back to health. However, the presence of the musically talented young man disrupts the peaceful lives of Ursula and Janet and the community in which they live. Holidaying artist Olga Daniloff, the sister of famed violinist Boris Daniloff, becomes interested in Andrea after hearing him play the violin. As time progresses, Olga and Andrea grow closer. Olga tells her brother of Andrea's talent, and he asks to meet Andrea in London. Although Andrea cares deeply for the sisters, he knows this is his chance to start a career, and he leaves with Olga without saying goodbye to the women. He later sends them a letter, along with a portrait of himself painted by Olga, thanking them for saving his life. The sisters travel to London to attend Andrea's first public performance.
",Drama,7.0,0.0,0.869,0.131,0.9786
Taxi,"After failing one of her midterm exams in a Madrid high school, Paz Velasco decides to drop out of the academic circuit. She takes this prompt decision much to the chagrin of her father, an overbearing taxi driver. In exchange, he forces her to join him at work so she can learn the trade and earn a living. Her reconnection with the so-called ""Family"", the close-knit group of her father's co-workers, is initially uneventful. One of its members is Dani, Paz's childhood sweetheart and a young taxi apprentice about to be discharged from the military service. Upon meeting for the first time in many years, they rekindle their mutual attraction and start dating, much to the apparent satisfaction of Dani's mother Reme—a fellow cabbie who is having a secret affair with Paz's father. Reme's husband is a former taxi driver who, according to the explanations given to Paz, was shot by two drug dealers during a robbery. One of the shots left him paralyzed and the ""Family""'s visits to him in the hospital are a staple in their common social life. Aside from Dani, Velasco and Reme, this group is completed by a shady individual named Calero and a thuggish brute nicknamed ""Niño"" who seems to act as an informal henchman of sorts for the former. Paz realizes Calero is a former cop even before being told so, and their mutual distrust is vivid and ever-increasing throughout the film. From the outset, it is made clear to the audience that the ""Family"" is in fact a neo-fascist death squad whose members use their cabs to abduct non-white, immigrant, LGTB and drug-addicted costumers with murderous intent. There is also some evidence of rudimentary tactics, e.g. using code words for each ""kind"" of victim in order to lure unwitting victims to the killing box. Dani has been recently groomed into the group and partakes in their activities, although it is made apparent to the audience that he does so reluctantly. The ""Family"" seems to be generally successful in its exploits: two murders are shown on-screen, as well as a raid on a Moroccan camp during which Dani accidentally kills a man. The film does show, however, one botched attack during which the victim manages to run away unharmed. It is left unclear whether or not the group is restricted to the core members shown onscreen. It is also left unclear whether the group's activities were prompted by the attack that crippled Dani's father or it was just a casual event that fuelled them further, or whether the version given to Paz was a lie and the attack was a direct result of the group's illegal pursuits. Their activities are spontaneous and seemingly not officially sanctioned, but there are ominous references by Calero to people ""up there"" who know and approve of the group's activities, leaving the door open to speculation on a wider conspiracy. Although initially ignorant of the actions and general demeanour of the ""Family"", Paz gradually finds out the truth through a series of details and coincidences, such as a profusion of fascist and pre-democratic antics and regalia, purportedly intimate family reunions attracting skinheads and other sinister individuals and ending in massive Roman salutes, casual bigoted remarks from her father and Dani  and a disturbing pattern of codenames or ""labels"" directed at different collectivities. Paz's unassuming and long-suffering mother seems increasingly distraught at the prospect of having Dani close to her daughter, and although Paz initially blames this on his general lack of education and ambition, it becomes increasingly clear that her mother knows more than she says about him and the whole group. Once confronted with the evidence, her disgust and adamant disapproval set up a chain of events leading to the climax. The paranoid and increasingly unstable Calero, who saw her as a potential liability to the group from the very beginning, now wishes to silence Paz at all costs. He shoots  her father when he tries to stop him, and confronts her and Dani in the Retiro Park, shooting Dani, and being shot to death by Paz seconds before he is about to finish him off. The camera pans over the park as she walks away with the injured Dani, and credits roll. The fate of the rest of the group is left undisclosed.
",Drama,6.5,0.128,0.827,0.044,-0.9958
Replicant,"Edward ""The Torch"" Garrotte  is a serial killer who has a penchant for killing women and then setting them on fire. Another pattern to his murders is the fact that the women are all mothers. Jake Riley  is a Seattle police detective who has spent three years trying to stop Garrotte. Just days before Jake's retirement, Garrotte strikes again, but Jake is off the case. During his retirement party, Jake receives a call from Garrotte, who threatens to go after his friends and family. Realizing he has gone too far, he sets out to stop him. A secret government agency hires Jake as a consultant on a project they have been working on. They have cloned Garrotte from evidence found at a crime scene, and need Jake to help train this replicant , who has some genetic memories from Garrotte, plus a telepathic link with him, but is like a newborn in many other respects. The Replicant has the body of a forty year old, but the mind of a child. Jake's job is to help use the Replicant to track Garrotte down by using the memories stored in Garrotte's DNA. As the Replicant and Jake work to track Garrotte down, tension is constant. Jake feels that the Replicant could turn on him at any moment, as Garrotte's killer instinct may take over and dictate the Replicant's tendencies. The Replicant tries to understand the world and life. He tries to understand his connection with Garrotte. The replicant also tries to understand why Jake treats him so roughly. As they work together, the Replicant views Jake as either a friend or as family. Though Jake is abusive toward him, the Replicant looks to him for protection and guidance as the two close in on finding Garrotte and stopping him once and for all. Garrotte and the Replicant confront each other in a bar after Garrotte fails to kill Jake with a bomb in his apartment. Garrotte kills a bartender, but lets the Replicant live. They confront each other once again in a parking garage in a hotel. Garrotte tries to convince his ""brother"" that Jake cannot be trusted. Frustrated that Garrotte got away, Jake wonders why the Replicant let him go. The Replicant says to Jake, ""We are the same."" The replicant finds out Garrotte's real name: Luc Sevard. They go to the hospital to talk with Garrotte  mother, but she had died of a heart attack the night before. Garrotte wants his ""brother"" to join him by killing Jake, but he refuses. Jake and the killer get into a fight, leading to an Ambulance chase in the parking garage. The van crashes, but the killer escapes. He hits Jake with a shovel, and plans to burn him alive. The film ends when the Replicant and the killer get into a fight in a furnace in the hospital. After the fight, the Replicant wants to kill Garrotte, in order to bring his mother back, but realizes that he is about to make the biggest mistake of his life. The killer hits the Replicant over the head with a shovel, which causes Jake to shoot him six times. Thinking that his ""family"" is gone, the Replicant knows that Jake is family now. An air conditioner, which was damaged during the fight, causes an explosion that kills the Replicant after he gets Jake out of the room. Upset by the death of his new ""partner"", Jake decides to retire from the force, as well as his job as a consultant. A few weeks later, Jake now has a wife and stepson, until he sees a man in a raincoat put a package in their mailbox. Jake now knows that the Replicant is alive when they receive a music box as a gift of thanks. Jakes says to Danny that ""he likes rain."" The Replicant decides to start a new life with a prostitute he saved earlier in the film.
",Drama,5.3,0.182,0.736,0.082,-0.9981
Pink in the Clink,"While working as a porter at Union Station in Los Angeles, the Pink Panther is forced at gunpoint by the Little White Man to assist him ina burglary at the Acme Manufacturing Company. While the man tries to break into the safe, the panther notices a large magnet above a rolling production line, and uses it to get the thief's purse. When the man notices it, he orders the panther to give the purse back, but the panther uses the magnet to catch and drop the man onto the production line. Later, while cutting a hole in the safe with a welder, the panther sets the pipe to the gas bottle on fire, which results in a huge explosion.
",Other,,0.073,0.86,0.067,0.0644
Hitch,"Alex ""Hitch"" Hitchens  is a professional ""date doctor"" who coaches other men in the art of wooing women. While coaching one of his clients, Albert Brennaman ([[Kevin James , who is smitten with a client of his investment firm, celebrity Allegra Cole , Hitch finds himself falling for Sara Melas , a gossip columnist who is determined to unmask and ruin the so-called ""date doctor"" after one of his ""clients"" had a one-night stand with her best friend. Sara doesn't realize that Hitch refused to work with this ""pig"" and that all of his clients ""like women"". While Albert and Allegra's relationship continues to progress, Hitch finds that none of his tried and tested methods are working for him, despite being a master of the art. After Hitch is unmasked, he and Sara break up, and Allegra and Albert follow soon. Finally, Hitch confronts Allegra and convinces her to reunite with Albert, before reconciling with Sara. In the process, he makes the startling discovery that he doesn't really do anything significant besides allowing his clients to get the attention of the woman and giving them confidence, and that most of his customers  really were successful by just being themselves.
",Family,6.6,0.05,0.816,0.134,0.9568
T.R. Baskin,"When Jack Mitchell, a lonely, middle-aged salesman from Utica, New York, meets his old fraternity brother Larry Moore while on business in Chicago, he asks him to introduce him to a nice woman. Larry gives him T.R. Baskin's phone number, and Jack invites her to visit him at his hotel. Following an awkward silence, the two end up in bed, where T.R. begins to tell Jack about her past, a story that unfolds via flashback. After moving to Chicago from a small town in Ohio, T.R. is forced to rent a studio apartment in a dilapidated building in a run-down area of the city. She finds employment as a typist in a large corporation where she meets Dayle Wigoda, who arranges a blind date with her boyfriend's wealthy friend Arthur, who proves to be an obnoxious bigot and misogynist. T.R. realizes she'd rather be alone than spend time with such a callous individual. One night, after leaving a noisy bar, T.R. sees Larry reading a book at the window of a café. She joins him at his table and learns he edits and publishes textbooks. The two go to his apartment and discuss their individual disappointments. Larry misses spending time with his children, while T.R. confesses she always has felt like an outsider. The two make love, and the following morning T.R. feels she finally has taken the first step towards an intimate relationship, only to discover Larry has put a $20 bill in her coat pocket. Feeling betrayed and humiliated, she rushes out. At home, T.R. calls her parents for consolation but instead receives a lecture about her decision to move to Chicago. Back in the present once again, T.R. and Jack agree they're glad they met each other, and T.R. leaves the hotel, optimistically believing better days are in her future.
",Drama,6.4,0.059,0.856,0.085,0.9072
Last Stand of the 300,"In 480 B.C, during the Greco-Persian Wars the Persian Empire led by Xerxes I of Persia fought the Greek city-states forces at the pass of Thermopylae in central Greece. This battle was to become known as the Battle of Thermopylae. The only thing stopping the Persians, was an army led by King Leonidas I & his 300 Spartans; the greatest soldiers the world has ever known. Vastly outnumbered, the Greek Spartans held up the Persians advance for three days, until they were overrun by Persian forces. The film also focuses on the lead up to the Battle of Thermopylae revealing that the Greeks might have played a part in the Ionian Revolts in Asia Minor in 499 to 493 B.C. It brings its viewers into understanding ancient warfare when the documentary focuses on the naval battle around Thermopylae, strategic & tactical considerations, and the aftermath of the battle which lead to the burning of Athens and Greek victories in battles such as Plataea. It also reveals to those unaware that the Spartans didn't fight alone.
",Other,,0.139,0.808,0.053,-0.9322
About a Girl,"About a Girl opens with a striking shot of a silhouette &mdash; against a skyline of clouds above a field &mdash; of a girl singing the Britney Spears song ""Stronger"" and doing the dance routine. It cuts abruptly to a close-up of the girl talking in a strong Mancunian accent to the camera: ""If Jesus were alive today &mdash; right, he'd probably be a singer."" She is walking against a backdrop of Manchester's industrial landscape, talking non-stop, mixing wry statements about stardom and singers with random quotes from her parents and descriptions of her life: her relationship with her dad, her frustrations with her mum, her desire to become a famous singer, the band she has formed with her friends. Things any 13-year-old might talk about. Her monologue is interrupted and intercut with different scenes of her with her family and her dad; her in a perfume department, sitting on a bench singing ""Stronger"" again, and on the back of a bus with her girlfriends singing ""Oops!... I Did It Again"" by Britney Spears and doing the routine. As she goes on walking alongside a canal, the girl's stories become more and more underlain by an uncomfortable feeling that the gravity of her experiences does not match her flippant retelling of her everyday life: her descriptions of her pop idols and her favourite ice cream are mixed with hints about family troubles, poverty and domestic violence. The 'underside' to her light-hearted storytelling is revealed in a shocking scene when, stating that she has become ""good at hiding things"", she throws the plastic bag she has been carrying into the canal. A camera shot from under the water reveals a baby surrounded by blood.
",Other,,0.082,0.85,0.068,-0.6476
Night of the Living Dead,"The story begins with the siblings Barbra  and Johnny  driving to rural Pennsylvania to visit their father's grave. In the graveyard Johnny teases Barbra that ""They're coming to get you, Barbra"" and then they are violently attacked by a strange man . Johnny tries to rescue his sister, but is killed after he falls and cracks his head on a gravestone. Barbra flees with the zombie in pursuit to a farmhouse where, to her horror, she discovers a woman's mangled corpse. Running out of the house, she is caught between the house and strange menacing figures that are akin to the zombie in the graveyard. A man named Ben  arrives in a car and takes her back inside the house. Ben asks Barbra if she lived in the farmhouse, but Barbra is slowly going into shock.  Hiding in the cellar of the farmhouse are married couple Harry  and Helen Cooper  and their daughter Karen , who sought refuge after a group of zombies turned over their car; and teenage couple Tom  and Judy  who arrived after hearing an emergency broadcast about a series of brutal murders. Ben turns on a radio while Barbra awakens from a stupor. Harry asks everyone to hide in the cellar, but Ben deems it a ""deathtrap"" and remains upstairs. Harry returns to the cellar to Helen and Karen. Karen has fallen seriously ill after being bitten on the arm by one of the zombies. Radio reports explain that a state of mass murder is sweeping across the East Coast of the United States. When Ben finds a television, the emergency broadcaster reports that the recently deceased have become reanimated and are consuming the flesh of the living. Experts, scientists, and the United States military do not know the cause, though one scientist suspects radioactive contamination from a space probe returning from Venus that exploded in the Earth's atmosphere.  When news reports reveal local rescue centers offering refuge and safety, Ben plans to leave and obtain medical care for Karen. Tom states that the closest center is 17 miles away in the town of Willard. Ben and Tom then go to refuel Ben's truck while Harry hurls Molotov cocktails from an upper window to keep the zombies at bay. Fearing for Tom's safety, Judy follows him. At the pump, Tom accidentally spills fuel, setting the truck ablaze. Tom and Judy try to withdraw the truck to avoid further damage; but it explodes, killing them both. Ben returns to the house but is unable to enter because Harry has locked the door behind him. He pounds on the door and shouts without result, and is finally forced to kick the door down only to find Harry retreating to the cellar. Angered by Harry's cowardice, Ben attacks him, while the zombies feed on Tom and Judy outside. In the house, a report on the television reveals that, aside from setting the ""reactivated bodies"" on fire, a gunshot or heavy blow to the head will stop them, and that posses of armed men are patrolling the countryside to restore order. Moments later, the zombies attempt to break into the house. Harry grabs Ben's rifle and threatens to shoot him, but Ben takes back the gun and shoots Harry, who stumbles into the cellar to collapse next to Karen, who has died of the infection of her injury. The zombies begin to pull Helen and Barbara through the windows; but Helen frees herself and goes down to the cellar to find a reanimated Karen consuming Harry. Helen falls and Karen kills her with a masonry trowel. Barbara, distracted by seeing Johnny as one of the zombies, is carried away by the horde and pulled through them. The undead break into the house, and Ben heads into the cellar. He knocks Karen out of the cellar, and he seals himself in the cellar. He shoots Harry and Helen just as they reanimate. The next morning, Ben is killed by a member of the posse, who mistakes him for a zombie, and placed onto a burning pyre along with other dead bodies.
",Horror,7.8,0.202,0.76,0.038,-0.9992
Torment,"A sadistic Latin teacher, nicknamed ""Caligula"" by his long-suffering students, rules his classroom like his kingdom. He is exceptionally hard on the diligent Jan-Erik, one of his students. One night Jan-Erik is returning home and finds an intoxicated young woman crying on the street. He recognizes her as Bertha, the clerk in a tobacco store near the school, and he walks her home. Bertha has a taste for both men and liquor, and he spends most of the night on her bedside. He becomes very involved with her, and his school work suffers. Bertha also has an older man whom she fears, although she will not reveal his name. He is Caligula, and he learns of his student's involvement. He makes life harder still for Jan-Erik, and forces Bertha to do his will by threatening to suspend Jan-Erik. But Caligula is too violent with Bertha, and one day, Jan-Erik arrives to find her dead. In a corner, he finds Caligula hiding, and calls the police. With no proof, however, Caligula is soon released, and quickly arranges for the expulsion of Jan-Erik, who accuses Caligula of murder, and finally strikes him in front of the principal of the school. He then goes to stay in Bertha's apartment. The principal of the school comes to the apartment, and offers his assistance in helping Jan-Erik back on track. Caligula comes to the apartment after the principal has left, seeking some sort of forgiveness, but Jan-Erik rejects him and instead walks out into the day to a view that overlooks all Stockholm.
",Drama,7.3,0.151,0.826,0.023,-0.9894
True Confessions,"In the post-war 1940s, Desmond Spellacy is a young and ambitious Roman Catholic monsignor in the Los Angeles archdiocese. His older brother Tom is a hard-working homicide detective with the L.A. police department. They are fond of each other, but spend little time together. Des is the pride and joy of aging Cardinal Danaher because of his skill at developing church projects while keeping down costs. He cuts a corner now and then, overlooking the shady side of construction mogul Jack Amsterdam, a lay Catholic who uses his ties to the Monsignor for the congregation's benefit but mainly for his own. One day in L.A., a young woman is found brutally murdered, her body cut in two in a vacant lot. Tom Spellacy and his partner, Frank Crotty, are put in charge of the case. The woman, a Lois Fazenda, is labeled ""the Virgin Tramp"" by the local press for apparently being a Catholic as well as a prostitute, turning it into a sensational case. Tom Spellacy's investigation leads him to a local madam, Brenda Samuels. Tom was well acquainted with Brenda years earlier while working as a ""bag man"" for Amsterdam, whose corruption extends to the local prostitution ring. Brenda has called the police to report the death of a Catholic pastor while he was engaging the services of one of her girls. While there, Brenda reproaches Tom for doing nothing for her while she was sent to prison for running one of Jack's whorehouses. Tom later believes the dead girl appeared in a stag film and obtains a copy. He and Frank notice that one of the girls in the movie was present at Brenda's brothel the day they came to retrieve the philandering priest. Tom now wants Brenda's help in tracking down the girl who made the movie with the murdered girl. Frank spots the girl a few days later being taken into the jail entrance after a roundup. They learn that the dead girl was a favorite of a local porno movie director named Standard because of her tattoo. Tom learns that Standard did his filming in a deserted army post in the foothills outside L.A. At lunch with his brother the Monsignor, Tom provokes Amsterdam face-to-face one day. His insinuations and facts about Amsterdam's dark side make the Monsignor increasingly uncomfortable. Des tells the Cardinal the time has come to cut church ties with Amsterdam for good. Des discusses ""getting rid of Jack"" with his cronies who remind him that such a thing would not be easily done. Sonny, a corrupt local city council member and local mortician, proposes that they give Jack a salutation dinner. Tom Spellacy's anger builds as his brother organizes a Catholic ""layman of the year"" banquet for Amsterdam as a gesture of appreciation before ending the church's relationship with him. Tom walks up to Amsterdam at the banquet and pulls off his sash while asking him loudly: ""Were you wearing this when you were banging Lois Fazenda?"" Jack attacks Tom and they scream obscenities at each other. Tom goes to Standard's ""studio"" and finds the floor and a bathtub covered with dried blood. He also finds Chinese food, which the medical examiner doing the autopsy had found in her stomach. Tom and Frank go looking for Standard but learn that he had been killed in a car accident twelve hours after the murder. Tom wants to drag in Amsterdam for questioning simply to humiliate him in public but Frank talks him out of it. Tom starts digging around and discovers that the dead girl had been messing around with several community leaders. A lawyer, Dan Campion, subtly warns the Monsignor that his brother the cop had better lay off unless they want it revealed publicly that Des, too, knew the murdered girl. She met the Monsignor only once in passing, whereas she had a sexual relationship with both Amsterdam and the lawyer. But the simple fact that Des had any kind of involvement in such a lurid case could permanently stain his reputation with the church. Tom Spellacy won't be talked out of it. His determination becomes complete when Brenda is found dead, an apparent suicide. He decides to have Amsterdam picked up and taken to headquarters, which in turn leads to the Monsignor being treated the same way. His rising career curtailed, Des asks to be relocated to a remote parish in the desert, the same place to which his first supervisor had been exiled, the location where the movie begins and ends, where Des and Tom meet after years apart. By the time Tom comes to see him, Des is dying. Tom feels everything is his fault, but Des is at peace and absolves his brother of any and all blame.
",Drama,6.3,0.14,0.797,0.063,-0.9979
Betty Blue,"Betty  and Zorg  are passionate lovers who live in a shack on the beach. He works as a handyman who does odd jobs to pay the bills. As the film begins, they have only been dating for a week and are in a very passionate stage of their relationship, portrayed in a graphic sex scene. Zorg narrates the story of their relationship via voiceover. He describes Betty as “like a flower with translucent antennae and a mauve plastic heart”. She yearns for a better life and quit her last job as a waitress because she was being sexually harassed by her boss. Zorg's boss asks him to paint the 500 shacks that populate the beach—a fact that he keeps from Betty who thinks they only have to do one. She takes on the project with enthusiasm that quickly turns to anger once she learns the actual number. In response, Betty covers the boss’s car with pink paint. During a nasty fight, Betty accidentally discovers a series of notebooks that contain a novel Zorg wrote years ago. Upon reading his novel, she realizes his true worth as an intelligent writer and tries to convince Zorg of it too. She is appalled at the menial work Zorg is subjected to and the non-chalant attitude he has toward his situation. Zorg, tries to write again, but cannot become inspired. The boss demands that Betty leaves after Zorg is late again to work again because of his relationship with Betty. Enraged by this, she trashes their shack again. Unbeknownst to Zorg while he is painting, Betty packs their things. When he is finished and comes back to his shack, Betty burns it and coerces Zorg to hitchhike with her to live with her best friend in the city. Betty and Zorg move in to Betty's friend's place and Zorg does handywork in lieu of rent. The couple's intimate life doesn't skip a beat. Fueled by her passionate love for Zorg, she takes it upon herself to type up Zorg's novel and try to get it published. Zorg again tries to rekindle his imagination and start writing again, but fails to do so. Worse, Zorg receives rejection letters for his novel. Fearing that they might ignite Betty's anger, he hides them. Soon, Betty and Zorg find work at Betty's friend's boyfriend's restaurant. All is well until Betty mistakes an order and the customer lashes out at her. The fighting escalates to Betty's rage erupting by stabbing the customer in the arm with a fork. Emotionally overwhelmed, Zorg seizes Betty and the scene ends with her crying against the wall in his arms. When Betty discovers the rejection letters, under the guise of a doctors appointment, she takes Zorg to one of the publisher's house where she assaults him and is again seized by Zorg. Betty's friend's boyfriend's mother dies, and Zorg, Betty, and her friend accompany her friend's boyfriend to the funeral. Her friend's boyfriend comes into ownership of his mother's piano store and house above it, and offers Betty and Zorg to run the store for him and live there in return. They accept and get the place to themselves. Zorg continues as a handyman around his new neighborhood for money and befriends a local store owner, Bob. While working one day, he comes across a white stray cat and takes it in. One day while Betty and Zorg are in bed, Zorg stumbles upon medication Betty is taking. Betty shrugs it off as nothing. Zorg again, tries to start another book, but cannot find the inspiration. Everything is smooth for Zorg and Betty until Betty has one of her emotional spells and runs out the house in her under garments. She is chased by Zorg until she calms down. Despite being on birth control, a pregnancy test yields positive. Zorg and Betty are overjoyed by the finding. Zorg buys onesies for their prospective baby. Betty goes to the doctor to confirm her pregnancy. Zorg comes home one day to find a medical paper that reads negative for pregnancy. Betty is nowhere in sight, having gone into one of her bouts of emotional frenzy. Zorg comes home the next day to find Betty distraught both mentally and visibly. Frustrated and worried, he shows her that he loves her. Days go by with no sign of Betty getting better. Zorg comes home one day to find blood splattered everywhere and Bob cleaning it up. Bob explains that Betty has poked out her eye in one of her emotional tangents. Betty is sent to a mental hospital and has become unresponsive even to Zorg. He blames the doctor for the medication driving her off the edge and refuses the doctor's recommendation for shock therapy. His frustration with Betty's condition and the doctors cause him to assault the doctor and get kicked out of the hospital. He then gets news that someone wants to publish his book. He later returns incognito to visit Betty. She is totally unaware of the world around her. Still Zorg whispers into her ear his feelings and swears to tell their story. Zorg, out of love and pity, then takes her pillow and smothers her to death. He returns home and makes chili as he was doing the day Betty first came into his shack. The movie ends with him finally writing his next book and hearing the voice of Betty as he did when they were happy together and participating in the small talk they used to have. Betty's free spirited nature and devotion to Zorg develop into alarming obsession, aggression and destructiveness, and the film alternates between comic and tragic modes.
",Drama,7.3,0.131,0.769,0.099,-0.9913
Mugguru Monagallu,"Prithvi, Vikram and Dattatreya  are the sons of Ranganath and Srividya living in a village. Ranganath goes against Sarath Saxena in an incident and is killed by him. Srividya who is pregnant with twins is separated from Prithvi. She thinks that he is killed while escaping from the goons and delivers the twins in a temple. The pujari  who is childless adopts one son and srividya is left with vikram who becomes an Assistant Commissioner of Police. Dattatreya is a Dance master. The story revolves on how the brothers unite with one another and also with their mother and take revenge on the villains.
",Family,6.2,0.143,0.833,0.025,-0.9509
