Genre,Drama,Other,Family,Fiction,Action_Adventure,Horror,total
courtesy,0,0,0,0,2,0,2
clap,0,0,1,1,0,0,2
gotham,2,0,0,0,0,0,2
valance,0,0,0,0,2,0,2
nora,0,0,0,0,1,1,2
billboard,0,0,1,1,0,0,2
masterji,0,0,2,0,0,0,2
moonlight,0,0,0,0,2,0,2
kilometer,0,0,0,0,2,0,2
umbrella,0,0,2,0,0,0,2
jog,0,0,1,0,1,0,2
searching,0,0,1,1,0,0,2
manhunt,2,0,0,0,0,0,2
gautam,0,0,1,0,1,0,2
indication,0,0,1,1,0,0,2
drought,0,0,2,0,0,0,2
dissolute,0,0,1,0,1,0,2
rainbow,0,0,1,1,0,0,2
faisal,1,0,0,0,1,0,2
forgery,0,0,1,0,1,0,2
gita,0,0,2,0,0,0,2
earnings,0,0,1,0,0,1,2
globe,0,0,1,1,0,0,2
rosie,0,0,1,0,1,0,2
hate,0,0,1,0,1,0,2
bhola,0,0,2,0,0,0,2
batman,2,0,0,0,0,0,2
neighboring,0,0,2,0,0,0,2
incidence,0,0,1,0,1,0,2
dent,2,0,0,0,0,0,2
denizen,0,0,0,0,1,1,2
wagner,0,0,1,0,0,1,2
superintendent,0,0,0,0,2,0,2
dispatch,0,0,1,0,0,1,2
deposit,0,0,2,0,0,0,2
blythe,0,0,0,0,1,1,2
dilemma,0,0,2,0,0,0,2
caveman,0,0,1,1,0,0,2
auguste,0,0,2,0,0,0,2
roam,0,0,2,0,0,0,2
soldiers,0,0,0,0,1,1,2
groggy,0,0,0,0,1,1,2
agua,0,0,0,0,2,0,2
lots,0,0,1,0,0,1,2
withdrawal,0,0,1,1,0,0,2
tile,0,0,1,0,1,0,2
woody,0,0,2,0,0,0,2
concierge,0,0,1,0,0,1,2
buzz,0,0,2,0,0,0,2
lightyear,0,0,2,0,0,0,2
ken,0,0,1,1,0,0,2
eulogy,1,0,1,0,0,0,2
jennings,0,0,0,0,1,1,2
sid,0,0,2,0,0,0,2
radiator,0,0,1,1,0,0,2
reconnaissance,0,0,1,0,1,0,2
memorabilia,0,0,1,1,0,0,2
improvise,0,0,1,0,0,1,2
vice,0,0,1,0,1,0,2
haggard,0,0,1,1,0,0,2
michigan,0,0,1,0,0,1,2
follow,0,0,0,0,2,0,2
founder,0,0,1,0,0,1,2
wandering,0,0,0,0,1,1,2
singin,0,0,1,1,0,0,2
kathy,0,0,2,0,0,0,2
expectation,0,0,1,0,0,1,2
optimism,0,0,1,0,1,0,2
pull,0,0,1,0,1,0,2
discrimination,0,0,2,0,0,0,2
bartlett,0,0,0,0,1,1,2
scripture,0,0,1,0,1,0,2
indo,0,0,0,0,2,0,2
sedgwick,0,0,0,0,2,0,2
pick,0,0,0,0,2,0,2
ito,0,0,0,0,1,1,2
drift,0,0,1,1,0,0,2
overture,0,0,2,0,0,0,2
sadhu,0,0,1,0,1,0,2
coleman,2,0,0,0,0,0,2
wednesday,0,0,0,0,2,0,2
horn,0,0,1,0,1,0,2
healing,0,0,1,0,1,0,2
believe,0,0,1,1,0,0,2
ferry,1,0,0,0,1,0,2
stampede,0,0,1,0,1,0,2
seriousness,0,0,0,0,2,0,2
swarm,0,0,1,0,0,1,2
tenement,1,0,0,0,1,0,2
militant,0,0,0,0,2,0,2
viking,0,0,2,0,0,0,2
silhouette,0,0,1,0,1,0,2
kasi,0,0,0,0,2,0,2
siegfried,0,0,1,0,1,0,2
schoolgirl,0,0,0,0,2,0,2
wise,0,0,1,0,0,1,2
latter,0,0,0,0,1,1,2
mathew,0,0,0,0,1,1,2
gillian,1,0,0,1,0,0,2
bala,0,0,2,0,0,0,2
predecessor,0,0,1,0,1,0,2
bark,0,0,1,1,0,0,2
adolescent,1,0,0,0,1,0,2
gaming,1,0,0,0,1,0,2
rs,0,0,1,0,1,0,2
marx,0,0,2,0,0,0,2
sage,0,0,2,0,0,0,2
atheist,0,0,1,0,0,1,2
magistrate,0,0,1,0,1,0,2
rip,0,0,1,0,0,1,2
bugs,0,0,2,0,0,0,2
offscreen,0,0,1,0,0,1,2
blizzard,0,0,0,0,2,0,2
fencing,0,0,1,0,0,1,2
dish,0,0,1,1,0,0,2
federales,0,0,0,0,2,0,2
senate,2,0,0,0,0,0,2
kabbadi,0,0,0,0,2,0,2
lands,0,0,1,0,1,0,2
opposite,0,0,2,0,0,0,2
sal,1,1,0,0,0,0,2
moustache,0,0,2,0,0,0,2
consul,0,0,0,0,1,1,2
mix,0,0,1,0,0,1,2
standing,0,0,0,0,2,0,2
acquisition,0,0,0,0,1,1,2
inventory,0,0,0,0,1,1,2
usage,0,0,1,1,0,0,2
murugan,0,0,2,0,0,0,2
warehouse,0,0,0,0,1,1,2
beak,1,0,1,0,0,0,2
scabbard,0,0,0,0,2,0,2
d'costa,0,0,2,0,0,0,2
socialite,0,0,2,0,0,0,2
prowess,0,0,0,0,2,0,2
pennyworth,2,0,0,0,0,0,2
mishap,0,0,2,0,0,0,2
motor,0,0,1,1,0,0,2
cuba,1,1,0,0,0,0,2
tournament-,0,0,0,0,2,0,2
the national league,0,0,0,0,2,0,2
lorry,0,0,0,0,2,0,2
specter,0,0,1,0,0,1,2
kabaddi,0,0,0,0,2,0,2
priya,0,0,1,0,1,0,2
donor,0,0,1,0,0,1,2
floodlight,0,0,0,0,2,0,2
romantic,0,0,1,1,0,0,2
dawes,2,0,0,0,0,0,2
melancholy,0,0,1,1,0,0,2
idealism,1,0,1,0,0,0,2
nanda,0,0,0,0,2,0,2
crucifixion,0,0,0,0,2,0,2
kurta,0,0,2,0,0,0,2
hassan,0,0,2,0,0,0,2
resolution,0,0,1,0,0,1,2
skirt,0,0,1,0,1,0,2
mus,0,0,0,0,1,1,2
fortification,0,0,0,0,2,0,2
handful,0,0,1,1,0,0,2
trophy,1,0,1,0,0,0,2
swapna,0,0,1,0,1,0,2
kaasi,0,0,1,0,1,0,2
curly,0,0,0,0,2,0,2
absentee,0,1,0,0,1,0,2
dinosaur,0,0,0,1,0,1,2
pilgrimage,0,0,2,0,0,0,2
victoria,0,0,1,0,1,0,2
snack,1,0,0,1,0,0,2
carlos,0,1,0,0,0,1,2
marie,0,2,0,0,0,0,2
corral,0,0,0,0,1,1,2
vignette,0,2,0,0,0,0,2
snap,0,1,1,0,0,0,2
powell,0,0,1,1,0,0,2
ringo,0,0,0,0,2,0,2
plummet,0,1,0,0,0,1,2
notebook,0,0,0,1,0,1,2
gunslinger,0,0,0,0,1,1,2
iraqi,0,2,0,0,0,0,2
sinclair,0,1,0,0,0,1,2
malhotra,0,0,2,0,0,0,2
meteor,0,0,0,1,1,0,2
newscaster,0,1,0,1,0,0,2
crater,0,0,0,1,1,0,2
veterinarian,0,0,0,0,1,1,2
sanjay,0,0,1,1,0,0,2
homer,0,0,0,0,1,1,2
partnership,0,0,0,1,1,0,2
paan,0,0,1,0,1,0,2
ratan,0,0,1,0,1,0,2
firearm,0,0,0,0,2,0,2
iran,0,1,1,0,0,0,2
dictatorship,0,1,1,0,0,0,2
waist,0,0,0,0,2,0,2
the gulf war,0,2,0,0,0,0,2
north india,0,0,1,0,1,0,2
expertise,1,0,1,0,0,0,2
interviewer,0,0,0,0,2,0,2
helpmann,0,0,1,1,0,0,2
toto,0,0,1,1,0,0,2
carelessness,0,0,0,1,1,0,2
spin,0,0,1,0,0,1,2
raya,0,2,0,0,0,0,2
daze,0,1,1,0,0,0,2
raman,0,1,1,0,0,0,2
krishnadeva,0,2,0,0,0,0,2
howling,0,0,0,0,1,1,2
dorothy,0,0,1,0,1,0,2
bouncer,0,0,1,0,1,0,2
wright,0,1,1,0,0,0,2
twister,0,0,1,0,0,1,2
pulp,1,0,0,1,0,0,2
entourage,0,0,0,0,1,1,2
ruby,0,0,2,0,0,0,2
burton,0,0,0,1,1,0,2
cherry,0,0,0,1,1,0,2
gujarat,0,0,2,0,0,0,2
ivory,0,1,0,0,0,1,2
harmony,0,1,0,0,0,1,2
gunpowder,0,0,0,1,0,1,2
butch,1,0,0,0,1,0,2
hug,0,1,1,0,0,0,2
uma,0,1,0,0,0,1,2
postman,0,1,0,0,1,0,2
dispose,1,0,0,1,0,0,2
carla,0,0,0,1,0,1,2
edinburgh,0,0,0,1,1,0,2
chester,0,1,0,0,0,1,2
under,0,1,0,0,0,1,2
valuable,1,0,0,0,1,0,2
soiree,0,1,1,0,0,0,2
total,0,0,1,0,1,0,2
gut,0,1,1,0,0,0,2
beverage,0,1,1,0,0,0,2
philadelphia,0,1,0,0,0,1,2
jar,0,0,0,0,1,1,2
rug,1,0,1,0,0,0,2
incinerator,0,1,1,0,0,0,2
roadside,0,1,0,0,1,0,2
er,0,0,0,0,1,1,2
sanctuary,0,0,0,1,0,1,2
assailant,0,0,0,0,1,1,2
annoyance,0,1,1,0,0,0,2
junkyard,1,0,0,1,0,0,2
rudolf,1,1,0,0,0,0,2
contest,1,0,0,0,0,1,2
the final solution,1,1,0,0,0,0,2
hire,0,0,0,0,1,1,2
proxy,0,0,0,1,0,1,2
landowner,0,2,0,0,0,0,2
thevar,0,1,0,0,1,0,2
jules,1,0,0,1,0,0,2
matthew,0,0,0,1,1,0,2
redemption,1,1,0,0,0,0,2
kill,0,1,0,0,0,1,2
hers,0,0,2,0,0,0,2
olympic,0,1,0,1,0,0,2
icon,2,0,0,0,0,0,2
vishnu,0,1,1,0,0,0,2
scholarship,2,0,0,0,0,0,2
similarity,0,1,0,1,0,0,2
miriam,0,1,0,0,1,0,2
alligator,0,0,1,0,0,1,2
martínez,0,1,0,0,1,0,2
amon,1,0,0,0,0,1,2
morse,0,0,0,1,0,1,2
shade,0,0,0,1,1,0,2
vox,0,1,0,1,0,0,2
crossfire,0,0,1,0,1,0,2
tunisia,0,2,0,0,0,0,2
mines,1,0,0,0,1,0,2
jaguar,0,0,0,0,1,1,2
osborn,0,1,0,1,0,0,2
raider,0,0,0,0,2,0,2
monoxide,0,0,0,2,0,0,2
atlantic,0,0,0,1,1,0,2
trajectory,0,1,0,1,0,0,2
syllable,0,0,1,1,0,0,2
odyssey,0,1,0,1,0,0,2
medalist,0,1,0,1,0,0,2
european,0,1,0,0,1,0,2
preethi,0,1,1,0,0,0,2
recommendation,0,1,1,0,0,0,2
drinker,0,0,0,0,1,1,2
vasudevan,0,2,0,0,0,0,2
cremation,0,2,0,0,0,0,2
northern,0,0,0,0,1,1,2
veeran,0,0,2,0,0,0,2
accolade,0,0,1,1,0,0,2
armstrong,0,0,0,0,1,1,2
the red army,2,0,0,0,0,0,2
the nazi party,1,0,0,0,1,0,2
trainer,0,0,0,0,1,1,2
karthik,0,0,1,1,0,0,2
bud,0,0,1,1,0,0,2
memories,0,1,0,1,0,0,2
mackenzie,2,0,0,0,0,0,2
rajasthan,0,0,1,0,1,0,2
splinter,1,1,0,0,0,0,2
diana,0,1,1,0,0,0,2
seaside,0,1,0,0,0,1,2
smell,0,0,1,0,0,1,2
gloucester,0,1,0,0,1,0,2
olson,0,1,0,1,0,0,2
furnace,0,0,0,1,0,1,2
blanche,0,0,1,0,0,1,2
banks,0,1,0,0,1,0,2
zed,1,0,0,1,0,0,2
skinner,0,0,1,0,1,0,2
poland,2,0,0,0,0,0,2
luftwaffe,0,1,0,0,1,0,2
alfredo,0,0,1,0,0,1,2
catacomb,0,0,0,1,0,1,2
commences,1,0,0,0,1,0,2
roar,0,0,1,1,0,0,2
peril,0,0,0,1,1,0,2
hollow,0,0,1,0,0,1,2
nerd,0,0,0,1,0,1,2
pie,0,0,0,1,0,1,2
ronald,0,2,0,0,0,0,2
pinch,0,1,0,0,1,0,2
synopsis,0,1,0,0,1,0,2
pier,0,1,0,0,0,1,2
lifeboat,0,0,0,0,2,0,2
brutality,0,1,1,0,0,0,2
titanic,0,0,0,0,2,0,2
the iraq war,0,2,0,0,0,0,2
righteousness,0,1,1,0,0,0,2
media,1,1,0,0,0,0,2
leprosy,0,1,0,0,1,0,2
booby,0,0,0,0,1,1,2
thornton,0,0,0,0,1,1,2
leper,0,1,0,0,1,0,2
adultery,0,1,1,0,0,0,2
vow,0,1,0,0,1,0,2
climb,0,0,1,0,1,0,2
expand,0,1,0,1,0,0,2
craig,0,1,0,1,0,0,2
arch,0,0,0,0,2,0,2
stevens,0,0,0,0,1,1,2
allegation,0,1,0,0,1,0,2
chez,0,0,0,0,1,1,2
karan,0,0,1,0,1,0,2
helplessness,0,0,0,0,2,0,2
cadillac,0,0,0,0,2,0,2
ensemble,1,0,0,0,0,1,2
sethu,0,0,0,0,2,0,2
boys,0,0,0,0,2,0,2
faust,0,1,0,0,0,1,2
carpathia,0,0,0,0,2,0,2
dot,0,1,0,1,0,0,2
compartment,0,0,0,0,1,1,2
sinking,0,0,0,0,2,0,2
seaman,0,0,0,0,1,1,2
rms,0,0,0,0,2,0,2
denver,0,1,0,0,1,0,2
pablo,0,0,0,0,1,1,2
iceberg,0,0,0,0,2,0,2
dehydration,0,0,0,0,1,1,2
rio,0,0,0,0,2,0,2
participation,0,0,1,0,1,0,2
molly,0,1,0,0,1,0,2
withdraws,0,0,1,0,0,1,2
pakistanis,0,0,0,0,2,0,2
airline,0,0,1,1,0,0,2
joint,1,0,0,0,1,0,2
georgia,0,0,1,0,1,0,2
miscarriage,1,0,0,1,0,0,2
ivan,0,0,0,0,1,1,2
heiress,0,0,1,0,1,0,2
pant,0,1,0,0,0,1,2
iowa,0,1,0,1,0,0,2
burglary,1,1,0,0,0,0,2
ashok,0,1,0,0,1,0,2
westley,0,0,2,0,0,0,2
meena,0,1,1,0,0,0,2
harmonica,0,1,0,0,1,0,2
woe,0,1,0,0,1,0,2
dwelling,0,1,1,0,0,0,2
guruji,0,1,1,0,0,0,2
mohini,0,1,1,0,0,0,2
rebirth,0,0,0,1,1,0,2
elsa,0,0,1,0,0,1,2
messenger,0,0,1,0,1,0,2
indonesia,0,1,0,0,0,1,2
choir,0,0,1,0,1,0,2
defender,0,0,0,0,2,0,2
coil,0,0,2,0,0,0,2
laurie,0,1,0,0,1,0,2
kurt,0,0,1,0,0,1,2
paltry,0,1,1,0,0,0,2
mockumentary,0,1,1,0,0,0,2
rupee,0,2,0,0,0,0,2
srivastava,0,1,1,0,0,0,2
drum,0,1,0,0,0,1,2
choreography,0,0,2,0,0,0,2
armour,0,0,0,0,1,1,2
declaration,0,0,0,0,1,1,2
goat,0,1,1,0,0,0,2
county,0,0,0,0,2,0,2
guardsmen,0,0,0,0,1,1,2
lovett,0,0,0,0,1,1,2
indifference,0,1,0,0,1,0,2
lounge,1,0,0,0,1,0,2
income,0,1,0,0,1,0,2
georgie,0,1,0,1,0,0,2
ruth,0,0,0,0,1,1,2
hypothermia,0,0,0,0,1,1,2
aires,0,1,0,1,0,0,2
counsel,1,0,0,0,1,0,2
weeks,0,0,0,1,1,0,2
liz,0,0,0,1,0,1,2
candlelight,0,0,0,1,1,0,2
muthu,0,1,0,0,1,0,2
foursome,0,1,0,0,1,0,2
liar,0,0,0,0,1,1,2
dissent,1,0,0,0,1,0,2
the east coast,0,0,0,1,0,1,2
motorist,0,0,0,1,1,0,2
narada,0,0,1,1,0,0,2
carousel,0,2,0,0,0,0,2
walker,0,1,0,0,0,1,2
swordfight,0,0,0,0,1,1,2
new mexico,0,1,0,0,1,0,2
fragment,0,0,0,1,0,1,2
botanist,0,1,0,1,0,0,2
foreigner,0,1,0,1,0,0,2
ramu,0,2,0,0,0,0,2
soundtrack,0,1,0,1,0,0,2
jung,0,0,0,0,1,1,2
new orleans,0,1,0,0,1,0,2
token,0,0,1,0,1,0,2
scoring,0,1,0,0,0,1,2
native americans,0,1,0,0,1,0,2
orleans,0,1,0,0,1,0,2
terrier,0,0,1,0,1,0,2
schooner,0,0,0,0,1,1,2
aaron,0,1,0,0,1,0,2
terrill,0,0,0,0,2,0,2
kasthuri,0,0,2,0,0,0,2
sphinx,0,1,0,1,0,0,2
crook,0,1,1,0,0,0,2
pork,0,2,0,0,0,0,2
bonnie,1,0,1,0,0,0,2
flush,1,1,0,0,0,0,2
rohan,0,0,0,0,2,0,2
adaptation,0,2,0,0,0,0,2
chopper,2,0,0,0,0,0,2
heating,0,1,0,1,0,0,2
faramir,0,0,0,0,2,0,2
hungary,0,1,0,0,0,1,2
edoras,0,0,0,0,2,0,2
brass,0,1,0,0,0,1,2
aslam,0,0,2,0,0,0,2
verge,0,0,0,0,2,0,2
canadian,1,0,0,0,0,1,2
jailer,0,0,1,1,0,0,2
maxwell,0,0,0,0,1,1,2
osgiliath,0,0,0,0,2,0,2
rohirrim,0,0,0,0,2,0,2
t,2,0,0,0,0,0,2
éowyn,0,0,0,0,2,0,2
lawlessness,0,0,0,0,2,0,2
escapade,0,1,1,0,0,0,2
vendetta,0,0,0,0,1,1,2
nagesh,0,1,1,0,0,0,2
singapore,0,0,1,1,0,0,2
malaysia,0,1,0,0,1,0,2
nirmala,0,1,1,0,0,0,2
reincarnation,0,0,0,0,1,1,2
ceo,0,1,1,0,0,0,2
treebeard,0,0,0,0,2,0,2
théoden,0,0,0,0,2,0,2
aravind,0,1,1,0,0,0,2
crack,0,0,0,0,2,0,2
danube,0,1,1,0,0,0,2
éomer,0,0,0,0,2,0,2
overrun,0,0,0,0,1,1,2
terminal,1,0,1,0,0,0,2
miguel,0,0,0,0,1,1,2
coronation,0,0,1,0,1,0,2
tak,0,0,0,2,0,0,2
colonial,2,0,0,0,0,0,2
siu,0,0,0,0,0,2,2
supreme,2,0,0,0,0,0,2
stasis,1,0,0,1,0,0,2
yin,0,0,0,0,0,2,2
spinster,1,0,0,0,0,1,2
nuclear,1,0,0,1,0,0,2
mummy,0,0,0,0,0,2,2
urn,0,0,0,0,0,2,2
airlock,1,0,0,1,0,0,2
cleaner,1,0,0,1,0,0,2
transmitter,1,0,0,0,1,0,2
central america,0,0,0,2,0,0,2
streak,0,0,0,0,0,2,2
recognizes,1,0,0,0,1,0,2
loader,1,0,0,1,0,0,2
poncho,0,0,0,1,1,0,2
carter,1,0,0,0,1,0,2
ripley,1,0,0,1,0,0,2
burke,1,0,0,0,0,1,2
gear,1,0,0,1,0,0,2
skepticism,1,0,0,1,0,0,2
onboard,0,0,0,2,0,0,2
orderly,1,0,0,0,0,1,2
orchestra,0,0,0,1,0,1,2
mafioso,2,0,0,0,0,0,2
wong,0,0,0,1,0,1,2
marble,1,0,0,0,0,1,2
aliens,1,0,1,0,0,0,2
nostromo,1,0,0,1,0,0,2
refinery,0,0,0,2,0,0,2
n,1,0,0,0,0,1,2
gutter,1,1,0,0,0,0,2
cinder,1,0,0,1,0,0,2
syringe,0,0,0,0,0,2,2
assurance,1,0,0,1,0,0,2
tramp,1,0,0,0,0,1,2
daydream,0,0,1,1,0,0,2
rhythm,0,0,1,0,1,0,2
czechoslovakia,0,0,1,0,0,1,2
nonsense,1,0,0,0,1,0,2
wan,0,0,0,2,0,0,2
gustav,0,0,0,1,0,1,2
chow,0,0,0,1,1,0,2
potion,0,0,0,0,0,2,2
ning,0,0,0,0,0,2,2
dallas,0,0,0,1,1,0,2
pin,1,0,0,0,0,1,2
thermonuclear,1,0,0,1,0,0,2
ramirez,0,0,0,1,1,0,2
dea,1,0,0,0,0,1,2
appeal,1,1,0,0,0,0,2
speculates,0,0,0,1,1,0,2
hive,1,0,0,1,0,0,2
refer,0,0,0,1,0,1,2
resurrection,0,0,0,2,0,0,2
servitude,0,0,0,0,0,2,2
choi,0,0,0,0,0,2,2
embryo,1,0,0,1,0,0,2
counselor,1,0,0,0,0,1,2
smother,1,0,0,0,0,1,2
overseer,2,0,0,0,0,0,2
insulin,1,0,0,0,0,1,2
fritz,0,0,0,1,0,1,2
remade,1,0,0,0,1,0,2
executioner,0,0,0,1,1,0,2
r.,0,0,0,1,1,0,2
porter,0,0,0,1,0,1,2
magnus,0,0,0,1,0,1,2
ludovico,0,0,0,1,0,1,2
pr,0,0,0,1,0,1,2
stare,0,0,0,1,1,0,2
hypnosis,0,0,0,2,0,0,2
shriek,0,0,0,1,0,1,2
grandchild,0,0,0,1,0,1,2
extraterrestrial,0,0,0,2,0,0,2
g.,1,1,0,0,0,0,2
paranoid,1,0,0,1,0,0,2
bhanumathi,1,0,0,0,1,0,2
polaroid,1,0,0,0,0,1,2
fu,0,0,0,0,0,2,2
eyelid,0,0,0,1,0,1,2
bess,0,0,0,1,1,0,2
uhura,0,0,0,2,0,0,2
occult,0,0,0,0,0,2,2
intimacy,1,0,1,0,0,0,2
lamb,1,0,0,0,0,1,2
clemenza,2,0,0,0,0,0,2
sammy,1,0,0,1,0,0,2
hindrance,1,0,1,0,0,0,2
pint,0,0,0,2,0,0,2
ruckus,1,0,0,0,1,0,2
kate,0,0,0,0,0,2,2
pretense,1,0,1,0,0,0,2
windmill,0,0,0,1,0,1,2
disk,0,0,0,2,0,0,2
seoul,1,0,0,1,0,0,2
su,1,0,0,1,0,0,2
capacitor,0,0,0,2,0,0,2
captivity,1,0,0,1,0,0,2
the warsaw ghetto,1,1,0,0,0,0,2
ronin,1,0,0,0,1,0,2
li,0,0,0,1,1,0,2
nomination,0,0,0,1,1,0,2
dae,1,0,0,0,0,1,2
garb,0,0,0,1,0,1,2
bolt,0,0,0,2,0,0,2
campus,0,0,0,0,0,2,2
maggot,0,0,0,0,0,2,2
setup,0,0,0,2,0,0,2
stock,2,0,0,0,0,0,2
the black room,0,0,0,0,0,2,2
flux,0,0,0,2,0,0,2
the old west,0,0,0,1,0,1,2
kingo,2,0,0,0,0,0,2
discontent,0,0,0,2,0,0,2
bamboo,1,0,0,0,1,0,2
raquel,2,0,0,0,0,0,2
guitarist,0,0,0,1,1,0,2
blaster,0,0,0,2,0,0,2
warsaw,1,1,0,0,0,0,2
treblinka,1,1,0,0,0,0,2
penny,0,0,1,1,0,0,2
oregon,2,0,0,0,0,0,2
hardens,1,0,0,1,0,0,2
kyle,2,0,0,0,0,0,2
sentinel,1,1,0,0,0,0,2
emergence,1,0,1,0,0,0,2
mandy,1,0,1,0,0,0,2
salzburg,1,0,1,0,0,0,2
fed,0,0,0,0,0,2,2
firehouse,0,0,0,1,0,1,2
holy,1,0,0,0,0,1,2
manufacturer,0,0,0,1,1,0,2
leopold,1,0,0,0,1,0,2
peck,0,0,0,2,0,0,2
sighting,0,0,0,2,0,0,2
renfield,0,0,0,0,0,2,2
converge,1,0,0,1,0,0,2
gamble,1,1,0,0,0,0,2
chat,1,0,0,0,0,1,2
in,0,0,0,1,0,1,2
harker,0,0,0,0,0,2,2
nail,0,0,0,0,0,2,2
clark,0,0,0,1,0,1,2
lens,1,1,0,0,0,0,2
doyle,2,0,0,0,0,0,2
lisa,1,0,0,0,0,1,2
detonator,1,0,0,1,0,0,2
antenna,0,0,0,2,0,0,2
wilhelm,1,0,0,0,0,1,2
thompson,0,0,0,1,0,1,2
donny,1,0,1,0,0,0,2
premiere,1,0,1,0,0,0,2
component,1,0,0,0,0,1,2
arctic,0,0,0,2,0,0,2
sentient,1,0,0,1,0,0,2
duke,0,0,1,0,0,1,2
confirmation,1,0,0,1,0,0,2
flint,0,0,0,1,1,0,2
tube,1,0,0,1,0,0,2
reel,2,0,0,0,0,0,2
pittsburgh,1,1,0,0,0,0,2
mast,0,0,0,1,1,0,2
sedgewick,0,0,0,1,1,0,2
hanger,0,0,0,1,0,1,2
columbia,0,0,0,1,0,1,2
increase,1,0,0,0,1,0,2
schoolmate,0,0,1,0,0,1,2
archbishop,1,1,0,0,0,0,2
smuggler,1,0,1,0,0,0,2
vat,1,0,0,0,0,1,2
communicates,1,0,1,0,0,0,2
fracture,1,0,1,0,0,0,2
freeze,0,0,0,0,0,2,2
mascot,0,0,0,2,0,0,2
andreas,0,0,0,1,0,1,2
beloved,1,0,1,0,0,0,2
janet,0,0,0,0,0,2,2
maggie,1,0,0,1,0,0,2
yorkers,0,0,0,1,0,1,2
pauper,1,0,0,0,0,1,2
strait,2,0,0,0,0,0,2
breaking,0,0,0,1,0,1,2
susan,1,0,0,0,0,1,2
saying,1,1,0,0,0,0,2
ma,1,0,0,0,0,1,2
blunderbuss,0,0,0,1,1,0,2
riddle,1,0,0,1,0,0,2
persuasion,1,0,0,0,1,0,2
gum,1,0,0,0,0,1,2
rack,0,0,1,0,1,0,2
bounce,0,0,1,0,1,0,2
rear,0,0,1,1,0,0,2
ethic,1,0,0,0,1,0,2
monroe,1,0,0,1,0,0,2
ramp,0,0,1,1,0,0,2
sd,1,0,0,0,1,0,2
closeness,0,0,1,0,1,0,2
ernie,1,0,0,0,0,1,2
rand,0,0,0,0,0,2,2
dreyfus,1,1,0,0,0,0,2
citizenship,1,0,0,0,1,0,2
the house of lords,0,0,1,0,0,1,2
martini,2,0,0,0,0,0,2
wage,0,0,1,0,1,0,2
benefactor,1,0,0,0,0,1,2
harding,1,0,0,0,0,1,2
fatigue,1,0,0,0,1,0,2
sandy,0,0,0,2,0,0,2
narayan,1,0,1,0,0,0,2
touch,1,0,1,0,0,0,2
czech,0,0,1,1,0,0,2
predicament,0,0,0,0,0,2,2
friday,1,0,0,1,0,0,2
potter,1,1,0,0,0,0,2
cruise,2,0,0,0,0,0,2
firefight,1,0,0,0,1,0,2
accent,1,0,0,1,0,0,2
smash,0,0,1,0,1,0,2
accord,0,0,1,0,0,1,2
edith,0,0,1,1,0,0,2
haunting,0,0,0,1,0,1,2
excerpt,1,0,0,1,0,0,2
sturmbannführer,1,0,0,0,1,0,2
omar,1,0,0,0,1,0,2
transfusion,0,0,0,0,0,2,2
excitement,0,0,0,0,0,2,2
agents,2,0,0,0,0,0,2
handing,1,0,0,0,0,1,2
ant,0,0,0,2,0,0,2
coroner,0,0,0,1,0,1,2
marcel,1,0,0,1,0,0,2
harold,0,0,0,1,1,0,2
hank,0,0,0,0,0,2,2
lords,0,0,1,0,0,1,2
new yorkers,0,0,0,1,0,1,2
original,0,0,1,0,1,0,2
textbook,0,0,0,1,0,1,2
lars,1,0,0,0,1,0,2
stella,1,0,0,1,0,0,2
gruber,0,0,0,2,0,0,2
buddha,0,0,0,1,1,0,2
clip,1,0,0,1,0,0,2
applaud,1,0,0,0,1,0,2
flashbulb,1,0,0,0,0,1,2
displacement,1,0,0,1,0,0,2
sewage,1,0,0,1,0,0,2
clarice,1,0,0,1,0,0,2
hurt,1,1,0,0,0,0,2
gorbachev,1,1,0,0,0,0,2
interrogation,0,0,0,1,1,0,2
reaper,0,0,0,0,0,2,2
detonate,1,0,0,1,0,0,2
lionel,1,0,1,0,0,0,2
jill,0,0,0,1,1,0,2
prop,1,0,0,1,0,0,2
minefield,0,0,0,1,1,0,2
crematorium,1,0,0,1,0,0,2
impotence,0,0,0,0,0,2,2
printer,0,0,0,2,0,0,2
fluid,1,0,0,0,0,1,2
sophistication,1,0,1,0,0,0,2
belle,1,0,1,0,0,0,2
serbian,2,0,0,0,0,0,2
submission,0,0,0,1,1,0,2
banner,0,0,0,2,0,0,2
1990s,2,0,0,0,0,0,2
fore,1,0,1,0,0,0,2
ridicule,1,0,0,1,0,0,2
delusion,0,0,0,1,1,0,2
extra,1,0,0,0,0,1,2
1950s,1,0,0,0,0,1,2
archibald,0,0,0,1,1,0,2
arif,0,0,0,1,1,0,2
fifth,0,0,0,1,1,0,2
brotherhood,2,0,0,0,0,0,2
newsreel,1,1,0,0,0,0,2
avengers,0,0,0,2,0,0,2
jay,1,0,0,0,0,1,2
patrolling,1,0,1,0,0,0,2
potential,0,0,0,1,1,0,2
u.s. army,1,0,0,0,1,0,2
legion,1,0,0,0,0,1,2
deterrent,1,0,0,1,0,0,2
en,0,0,0,1,0,1,2
velu,1,0,0,0,1,0,2
motivation,1,0,0,0,0,1,2
housekeeper,0,0,0,1,1,0,2
countryman,0,0,0,1,1,0,2
solicitor,0,0,0,1,0,1,2
brigadier,1,0,0,1,0,0,2
psychopath,0,0,0,0,0,2,2
