Movie_name,Top_genres,Release_Date,tconst,capped_profit,Successful,role_1,role_2,role_3,role_4,role_1_birth_year,role_2_birth_year,role_3_birth_year,role_4_birth_year,role_1_roles_count,role_2_roles_count,role_3_roles_count,role_4_roles_count,role_1_sex,role_2_sex,role_3_sex,role_4_sex
San Francisco,Drama,1936,tt0028216,11609286.614221303,6.0,nm0000022,nm0531776,nm0000075,nm0392442,1901,1903,1900,1888,61.0,30.0,71.0,82.0,M,F,M,M
The Emperor's Shadow,Drama,1996,tt0125994,0.0,4.7,nm0422638,nm0311212,nm0944647,nm6001114,1963,1957,1969,\N,42.0,62.0,12.0,1.0,M,M,F,M
Aurore,Drama,2005,tt0430895,-7273310.859825049,4.6,nm1754087,nm0692944,nm0099886,nm0415191,1993,1968,1974,1956,25.0,4.0,67.0,41.0,F,M,F,M
Unforgivable,Drama,2011,tt1583737,0.0,4.4,nm0244707,nm0000962,nm0858048,nm0039967,1946,1957,1981,1931,178.0,80.0,55.0,36.0,M,F,F,F
Ente Mohangal Poovaninju,Drama,1982,tt0291891,0.0,4.4,nm0788152,nm0482320,nm0579445,nm0880893,1960,1960,1963,\N,33.0,267.0,28.0,32.0,M,M,F,M
Aadavari Matalaku Ardhalu Verule,Drama,2007,tt0907618,0.0,4.8,nm0893142,nm1375534,nm0820241,nm0004469,1960,1983,1979,1944,84.0,63.0,56.0,96.0,M,F,M,M
British Agent,Drama,1934,tt0024915,0.0,4.5,nm0001366,nm0290215,nm0307326,nm0715637,1893,1905,1905,1908,27.0,52.0,139.0,32.0,M,F,M,M
Goldie,Drama,1931,tt0021920,0.0,4.3,nm0000075,nm0405220,nm0001318,nm0212249,1900,1906,1911,1898,71.0,24.0,24.0,1.0,M,M,F,M
Stage Beauty,Drama,2004,tt0368658,2698541.630803847,4.7,nm0001082,nm0000132,nm0000391,nm0404332,1968,1979,1959,\N,91.0,168.0,78.0,6.0,M,F,M,M
Jefferson in Paris,Drama,1995,tt0113463,-17906811.6815531,4.1,nm0000560,nm0000627,nm0000569,nm0258251,1941,1960,1972,\N,109.0,75.0,39.0,1.0,M,F,F,F
The Way,Drama,2010,tt1441912,4810345.629900796,4.8,nm0000640,nm0000389,nm0000679,nm0905691,1940,1962,1966,1964,356.0,33.0,35.0,18.0,M,M,F,M
The Iron Lady,Drama,2011,tt1007029,11609286.614221303,5.6,nm0000658,nm0000980,nm0001290,nm0114742,1949,1949,1957,1946,99.0,183.0,137.0,12.0,F,M,M,F
The 39 Steps,Drama,1959,tt0053354,0.0,4.6,nm0603336,nm0253359,nm0207219,nm0427543,1914,1930,1909,1893,57.0,13.0,17.0,40.0,M,F,F,M
Next,Drama,2007,tt0435705,6926902.392698231,4.6,nm0000115,nm0000194,nm0004754,nm0470981,1964,1960,1982,1962,105.0,82.0,63.0,80.0,M,F,F,M
The Lady Vanishes,Drama,1938,tt0030341,0.0,4.8,nm0516994,nm0714878,nm0510134,nm0926599,1916,1908,1895,1865,43.0,63.0,80.0,10.0,F,M,M,F
Go Fish,Drama,1994,tt0109913,3846411.2955383146,4.4,nm0110922,nm0877587,nm0573331,nm0577597,\N,1968,\N,\N,2.0,30.0,1.0,1.0,F,F,F,F
The Contract,Drama,2006,tt0445946,-22841756.838162955,4.0,nm0000131,nm0000151,nm2196500,nm0000481,1966,1937,1989,1954,79.0,528.0,31.0,48.0,M,M,M,F
Ordinary Decent Criminal,Drama,2000,tt0160611,0.0,4.5,nm0000228,nm0000400,nm0611932,nm0226820,1959,1958,1959,1957,147.0,23.0,104.0,78.0,M,F,M,M
A King and His Movie,Drama,1986,tt0089794,0.0,4.7,nm0241696,nm0154509,nm0181963,nm0073381,1937,1956,1933,\N,53.0,90.0,154.0,9.0,M,M,M,F
The Killers,Drama,1964,tt0058262,0.0,4.7,nm0001511,nm0001141,nm0001023,nm0347656,1924,1931,1929,1928,166.0,177.0,69.0,254.0,M,F,M,M
Too Outrageous!,Drama,1987,tt0094165,0.0,4.5,nm0752827,nm0918023,nm0567107,nm0281284,1947,\N,\N,\N,1.0,1.0,1.0,87.0,M,M,M,M
Snow Falling on Cedars,Drama,1999,tt0120834,-16983902.406042323,4.3,nm0000160,nm0001884,nm0473802,nm0138840,1970,1929,1971,1983,84.0,102.0,24.0,31.0,M,M,F,M
Yanks,Drama,1979,tt0080157,0.0,4.5,nm0000152,nm0002059,nm0000603,nm0001137,1949,1952,1937,1939,70.0,23.0,221.0,287.0,M,F,F,M
Harlow,Drama,1965,tt0059252,7513446.178259719,4.5,nm0004647,nm0000999,nm0885203,nm0001450,1931,1919,1916,1925,53.0,51.0,64.0,347.0,F,M,M,F
26 Years Diary,Drama,2007,tt1077071,4127289.5087755406,4.6,nm2738800,nm0361665,nm1069467,nm2067983,1985,1959,1978,1985,2.0,71.0,4.0,60.0,F,F,M,M
The Great Game,Drama,1953,tt0045838,0.0,4.5,nm0371687,nm0002047,nm0386331,nm0491406,1907,1931,1911,1897,33.0,76.0,181.0,131.0,M,F,F,M
And God Created Woman,Drama,1988,tt0092559,1436083.5258854206,4.1,nm0000360,nm0001759,nm0001449,nm6230258,1959,\N,1938,1967,51.0,42.0,90.0,15.0,F,M,M,M
The Man in Grey,Drama,1943,tt0036135,0.0,4.6,nm0516994,nm0000051,nm0130829,nm0001289,1916,1909,1915,1913,43.0,139.0,50.0,65.0,F,M,F,M
A Single Man,Drama,2009,tt1315981,11609286.614221303,5.0,nm0000147,nm0000194,nm0328828,nm0396558,1960,1960,1978,1989,85.0,82.0,73.0,106.0,M,F,M,M
The Mortal Storm,Drama,1940,tt0032811,0.0,4.8,nm0837925,nm0000071,nm0001870,nm0604656,1909,1908,1907,1890,18.0,117.0,388.0,66.0,F,M,M,M
No Time for Sergeants,Drama,1958,tt0052005,0.0,4.8,nm0341431,nm0566584,nm0011244,nm0358069,1926,1908,1931,1923,493.0,19.0,122.0,67.0,M,M,M,M
Bangkok Dangerous,Drama,2008,tt0814022,11609286.614221303,4.5,nm0000115,nm0947777,nm1395312,nm2486428,1964,1974,1978,1983,105.0,20.0,27.0,1.0,M,F,M,F
The House of Mirth,Drama,2000,tt0200720,-13747744.870305846,4.4,nm0000096,nm0000101,nm0111376,nm0455767,1968,1952,1938,1954,351.0,159.0,70.0,73.0,F,M,F,M
Outland,Drama,1981,tt0082869,-41658275.13518468,3.8,nm0000125,nm0827973,nm0001967,nm0797725,1930,1930,1935,1934,71.0,19.0,56.0,48.0,M,F,M,M
Band Baaja Baaraat,Drama,2010,tt1610452,0.0,4.7,nm3828984,nm3087728,nm6560386,nm6444214,1985,1988,\N,\N,28.0,20.0,1.0,1.0,M,F,M,M
The Last Song,Drama,2010,tt1294226,11609286.614221303,4.6,nm1415323,nm2955013,nm0001427,nm1544100,1992,1990,1963,1997,121.0,37.0,85.0,9.0,F,M,M,M
Cash,Drama,2007,tt0872190,0.0,3.9,nm0222426,nm0792911,nm1300301,nm1299011,1969,1961,1980,1978,123.0,109.0,19.0,48.0,M,M,M,M
The House of Yes,Drama,1997,tt0119324,-1288924.8200924098,4.5,nm0000205,nm0357979,nm0001760,nm0005327,1968,1969,1973,1976,59.0,41.0,84.0,116.0,F,M,F,M
Female Prisoner Scorpion: Beast Stable,Drama,1973,tt0226875,0.0,4.7,nm0435299,nm0621456,nm0498071,nm1151644,1947,1935,1942,1952,43.0,48.0,2.0,8.0,F,M,F,F
Maurie,Drama,1973,tt0070377,0.0,4.8,nm0143378,nm0004149,nm0533672,nm0250372,1939,1941,1933,1943,38.0,60.0,24.0,5.0,M,M,F,F
Brother Orchid,Drama,1940,tt0032285,0.0,4.7,nm0000064,nm0000007,nm0815433,nm0187981,1893,1899,1909,1882,83.0,66.0,219.0,58.0,M,M,F,M
Day of Wrath,Drama,1943,tt0036506,0.0,4.9,nm0740463,nm0610228,nm0624653,nm0028249,1874,1917,1868,1898,5.0,16.0,4.0,1.0,M,F,F,F
Salaam Bombay!,Drama,1988,tt0096028,0.0,4.9,nm0787359,nm0030117,nm0665350,nm0788890,\N,\N,\N,\N,2.0,1.0,1.0,1.0,M,M,M,F
Eyes of a Stranger,Drama,1981,tt0082352,-2082913.756759234,4.4,nm0856708,nm0000492,nm0228277,nm0243397,1953,1962,1938,\N,9.0,113.0,6.0,4.0,F,F,M,M
The Red Lily,Drama,1924,tt0015268,0.0,4.7,nm0071746,nm0003895,nm0000891,nm0193005,1893,1899,1885,1857,17.0,35.0,156.0,25.0,F,M,M,M
Apne,Drama,2007,tt0814014,0.0,4.5,nm0004429,nm0219971,nm0219967,nm0792908,1935,1956,1969,1975,187.0,90.0,58.0,46.0,M,M,M,F
Jud Süß,Drama,1940,tt0032653,0.0,4.2,nm0547029,nm0845453,nm0313447,nm0470328,1902,1912,1893,1884,16.0,21.0,51.0,63.0,M,F,M,M
Tomorrow is Forever,Drama,1946,tt0039041,0.0,4.7,nm0001055,nm0000080,nm0107575,nm0914778,1903,1915,1904,1879,62.0,98.0,87.0,19.0,F,M,M,F
Lady Cocoa,Drama,1975,tt0073259,0.0,4.2,nm0265832,nm0913445,nm0237416,nm0674012,1942,1947,1916,1936,10.0,1.0,10.0,19.0,F,M,M,F
Sella Turcica,Drama,2010,tt1773039,-21713.386423792716,4.2,nm0444169,nm3540938,nm3528269,nm4178810,1947,\N,\N,\N,11.0,2.0,1.0,1.0,F,M,M,F
Bright Young Things,Drama,2003,tt0325123,-12869010.19252548,4.3,nm1304386,nm0607865,nm0000101,nm0564402,1979,1971,1952,1957,32.0,89.0,159.0,34.0,M,F,M,M
Condemned to Live,Drama,1935,tt0026230,0.0,4.2,nm0604960,nm0003124,nm0236445,nm0322345,1883,1881,1915,1907,42.0,19.0,10.0,24.0,M,M,F,M
Cadence,Drama,1990,tt0101531,0.0,4.6,nm0000221,nm0000640,nm0106319,nm0164273,1965,1940,1953,1936,371.0,356.0,120.0,35.0,M,M,M,M
Mona Lisa,Drama,1986,tt0091538,0.0,4.7,nm0001364,nm0879154,nm0000323,nm0001059,1942,1965,1933,1950,109.0,67.0,118.0,91.0,M,F,M,M
Late Spring,Drama,1949,tt0041154,0.0,4.9,nm0753479,nm0361697,nm0875366,nm0837503,1904,1920,1922,1909,63.0,77.0,60.0,29.0,M,F,F,F
They Met in Bombay,Drama,1941,tt0034281,0.0,4.6,nm0000022,nm0751426,nm0000048,nm0707771,1901,1907,1904,1870,61.0,45.0,75.0,9.0,M,F,M,F
For Love of the Game,Drama,1999,tt0126916,-5524710.820071039,4.5,nm0000126,nm0000593,nm0000604,nm0540441,1955,1962,1965,1984,115.0,33.0,119.0,57.0,M,F,M,F
This Sporting Life,Drama,1963,tt0057578,-2212998.0907591837,4.7,nm0001321,nm0731499,nm0045996,nm0367156,1930,1927,1923,1908,66.0,26.0,47.0,164.0,M,F,M,M
The Way to the Gold,Drama,1957,tt0051181,11609286.614221303,4.7,nm0001374,nm0636065,nm0837959,nm0000974,1926,1932,1912,1894,73.0,41.0,191.0,378.0,M,F,M,M
The Mysterious Dr. Fu Manchu,Drama,1929,tt0020197,0.0,4.4,nm0645941,nm0358076,nm0000795,nm0373773,1879,1899,1900,1877,40.0,178.0,60.0,15.0,M,M,F,M
Gone to Earth,Drama,1950,tt0042513,0.0,4.6,nm0428354,nm0268119,nm0159258,nm0861345,1919,1908,1910,1882,24.0,35.0,84.0,19.0,F,M,M,F
The Pride of the Yankees,Drama,1942,tt0035211,0.0,6.5,nm0000011,nm0942863,nm0751899,nm0000974,1901,1918,1895,1894,78.0,52.0,9.0,378.0,M,F,M,M
Passing Fancy,Drama,1933,tt0023937,0.0,4.7,nm0757104,nm0299346,nm1586462,nm0407329,1899,1915,1907,1897,48.0,14.0,33.0,53.0,M,F,M,F
The Beast of the City,Drama,1932,tt0022660,7080392.620647526,4.7,nm0404158,nm0001318,nm0285922,nm0380965,1883,1911,1898,1886,54.0,24.0,85.0,62.0,M,F,M,M
The Mystery of Mr. X,Drama,1934,tt0025546,0.0,4.6,nm0599910,nm0019922,nm0832011,nm0285391,1904,1910,1879,1904,50.0,32.0,99.0,27.0,M,F,M,M
Three Violent People,Drama,1956,tt0049849,10450646.229307173,4.7,nm0000032,nm0000879,nm0738042,nm0874502,1923,1923,1905,1926,208.0,79.0,81.0,35.0,M,F,M,M
The Clearing,Drama,2004,tt0331952,0.0,4.4,nm0000602,nm0000353,nm0000545,nm0005273,1936,1955,1945,1972,98.0,106.0,121.0,43.0,M,M,F,M
Thieves and Liars,Drama,2006,tt0459438,0.0,4.6,nm0000874,nm1927209,nm0001990,nm0378859,1956,\N,1961,\N,114.0,2.0,27.0,1.0,M,M,F,M
Malibu Express,Drama,1985,tt0089539,-1100416.021072203,4.2,nm0385976,nm0000356,nm0582586,nm0605030,1957,\N,1936,1950,79.0,43.0,22.0,3.0,M,F,M,F
The Fighting Sullivans,Drama,1944,tt0037323,0.0,4.8,nm0000879,nm0593775,nm0747413,nm0752524,1923,1892,1904,1923,79.0,118.0,11.0,4.0,F,M,F,M
The Box,Drama,2007,tt0928188,0.0,4.1,nm0891485,nm0118568,nm0005517,nm0002064,\N,1977,1972,1958,24.0,84.0,131.0,166.0,M,M,F,M
Illegal,Drama,2010,tt1480662,0.0,4.7,nm1948526,nm3287985,nm2077552,nm0480869,\N,\N,\N,1943,9.0,21.0,11.0,28.0,F,M,M,M
The Creeping Flesh,Drama,1973,tt0068424,0.0,4.5,nm0000489,nm0001088,nm0374128,nm0072498,1922,1913,1948,1911,178.0,91.0,6.0,45.0,M,M,F,M
Dylan Dog: Dead of Night,Drama,2010,tt1013860,-14401444.801014723,4.0,nm0746125,nm1715194,nm0403134,nm0004875,1979,1982,1982,1971,126.0,30.0,83.0,110.0,M,F,M,M
Mediterraneo,Drama,1991,tt0102426,0.0,5.2,nm0007746,nm0081702,nm0147794,nm0084241,1955,1955,1957,1957,119.0,32.0,33.0,66.0,M,M,M,M
Of Gods and Men,Drama,2010,tt1588337,-4342677.284758543,4.6,nm0933727,nm0003909,nm0705005,nm0490734,1958,1931,1959,1936,101.0,137.0,60.0,38.0,M,M,M,M
Coffin Rock,Drama,2009,tt1104814,0.0,4.3,nm0853079,nm0152615,nm2258245,nm0131811,1963,1968,\N,1949,86.0,82.0,14.0,22.0,M,F,M,M
Teree Sang: A Kidult Love Story,Drama,2009,tt1485072,0.0,4.5,nm2383152,nm3463084,nm0438494,nm0348481,1982,\N,1961,1959,175.0,6.0,87.0,247.0,M,F,M,F
Vice Versa,Drama,1988,tt0096380,11609286.614221303,4.6,nm0001662,nm0000625,nm0001959,nm0001436,\N,1976,1958,1944,61.0,241.0,24.0,206.0,M,M,F,F
The Killing Fields,Drama,1984,tt0087553,11609286.614221303,6.8,nm0001832,nm0628955,nm0000518,nm0001696,1940,1940,1953,1958,491.0,8.0,138.0,70.0,M,M,M,M
Walk a Crooked Mile,Drama,1948,tt0040947,0.0,4.5,nm0371775,nm0641454,nm0020145,nm0260722,1909,1908,1920,1902,55.0,77.0,212.0,36.0,M,M,F,M
Dream Home,Drama,2010,tt1407972,0.0,4.6,nm0387319,nm0702666,nm8498078,nm8521688,1974,1949,\N,\N,24.0,12.0,1.0,1.0,F,M,F,M
A Lost Lady,Drama,1934,tt0025422,0.0,4.4,nm0001766,nm0604656,nm0007220,nm0847939,1907,1890,1900,1902,89.0,66.0,70.0,107.0,F,M,M,M
Mizhi Randilum,Drama,2003,tt0378370,0.0,4.4,nm0534858,nm0226770,nm1011348,nm0415549,1984,1968,1979,1951,34.0,98.0,54.0,129.0,F,M,M,M
Mouna Guru,Drama,2011,tt2145803,-768285.0622575734,4.8,nm4650730,nm4710376,nm3682633,nm1428808,1987,1988,1976,1975,18.0,27.0,24.0,94.0,M,F,M,F
